CMDLINE /usr/bin/python3 scripts/Lasso-RF-Rhizo.py
MEM 205.246094 1652109552.1986
MEM 194.160156 1652109552.2990
MEM 194.160156 1652109552.3993
MEM 201.378906 1652109552.4995
MEM 204.988281 1652109552.5998
MEM 194.160156 1652109552.7002
MEM 194.160156 1652109552.8005
MEM 204.988281 1652109552.9008
MEM 204.988281 1652109553.0011
MEM 194.160156 1652109553.1015
MEM 201.378906 1652109553.2018
MEM 204.988281 1652109553.3021
MEM 204.988281 1652109553.4024
MEM 194.160156 1652109553.5027
MEM 201.636719 1652109553.6030
MEM 205.246094 1652109553.7033
MEM 194.160156 1652109553.8037
MEM 194.160156 1652109553.9040
MEM 205.246094 1652109554.0044
MEM 205.246094 1652109554.1047
MEM 194.160156 1652109554.2051
MEM 197.769531 1652109554.3054
MEM 204.988281 1652109554.4057
MEM 204.988281 1652109554.5061
MEM 194.160156 1652109554.6063
MEM 201.378906 1652109554.7066
MEM 204.988281 1652109554.8068
MEM 193.128906 1652109554.9071
MEM 194.160156 1652109555.0073
MEM 201.378906 1652109555.1075
MEM 204.988281 1652109555.2078
MEM 194.160156 1652109555.3081
MEM 194.160156 1652109555.4083
MEM 205.246094 1652109555.5086
MEM 205.246094 1652109555.6088
MEM 194.160156 1652109555.7091
MEM 201.636719 1652109555.8093
MEM 205.246094 1652109555.9096
MEM 205.246094 1652109556.0098
MEM 194.160156 1652109556.1101
MEM 201.378906 1652109556.2103
MEM 204.988281 1652109556.3106
MEM 194.160156 1652109556.4108
MEM 194.160156 1652109556.5111
MEM 204.988281 1652109556.6113
MEM 204.988281 1652109556.7116
MEM 194.160156 1652109556.8118
MEM 201.378906 1652109556.9121
MEM 204.988281 1652109557.0124
MEM 204.988281 1652109557.1126
MEM 194.160156 1652109557.2129
MEM 201.636719 1652109557.3131
MEM 205.246094 1652109557.4134
MEM 194.160156 1652109557.5137
MEM 194.160156 1652109557.6139
MEM 201.636719 1652109557.7141
MEM 205.246094 1652109557.8144
MEM 194.160156 1652109557.9147
MEM 194.160156 1652109558.0149
MEM 204.988281 1652109558.1151
MEM 204.988281 1652109558.2153
MEM 194.160156 1652109558.3156
MEM 201.378906 1652109558.4158
MEM 204.988281 1652109558.5161
MEM 194.160156 1652109558.6163
MEM 194.160156 1652109558.7166
MEM 201.378906 1652109558.8168
MEM 204.988281 1652109558.9171
MEM 194.160156 1652109559.0173
MEM 194.160156 1652109559.1176
MEM 205.246094 1652109559.2178
MEM 205.246094 1652109559.3181
MEM 194.160156 1652109559.4183
MEM 201.636719 1652109559.5186
MEM 205.246094 1652109559.6188
MEM 190.812500 1652109559.7191
MEM 194.160156 1652109559.8193
MEM 201.378906 1652109559.9195
MEM 204.988281 1652109560.0198
MEM 194.160156 1652109560.1201
MEM 194.160156 1652109560.2203
MEM 204.988281 1652109560.3205
MEM 204.988281 1652109560.4208
MEM 194.160156 1652109560.5211
MEM 201.378906 1652109560.6213
MEM 204.988281 1652109560.7215
MEM 204.988281 1652109560.8218
MEM 194.160156 1652109560.9220
MEM 201.636719 1652109561.0223
MEM 205.246094 1652109561.1225
MEM 194.160156 1652109561.2228
MEM 194.160156 1652109561.3230
MEM 205.246094 1652109561.4233
MEM 205.246094 1652109561.5236
MEM 194.160156 1652109561.6238
MEM 194.160156 1652109561.7241
MEM 204.988281 1652109561.8243
MEM 204.988281 1652109561.9246
MEM 194.160156 1652109562.0248
MEM 201.378906 1652109562.1251
MEM 204.988281 1652109562.2253
MEM 204.988281 1652109562.3255
MEM 194.160156 1652109562.4258
MEM 201.378906 1652109562.5260
MEM 204.988281 1652109562.6263
MEM 190.812500 1652109562.7266
MEM 194.160156 1652109562.8268
MEM 201.636719 1652109562.9271
MEM 205.246094 1652109563.0273
MEM 194.160156 1652109563.1276
MEM 194.160156 1652109563.2278
MEM 205.246094 1652109563.3281
MEM 205.246094 1652109563.4284
MEM 194.160156 1652109563.5286
MEM 201.378906 1652109563.6289
MEM 204.988281 1652109563.7291
MEM 204.988281 1652109563.8294
MEM 194.160156 1652109563.9296
MEM 201.378906 1652109564.0299
MEM 204.988281 1652109564.1301
MEM 194.160156 1652109564.2304
MEM 194.160156 1652109564.3306
MEM 204.988281 1652109564.4309
MEM 204.988281 1652109564.5312
MEM 194.160156 1652109564.6315
MEM 194.160156 1652109564.7317
MEM 205.246094 1652109564.8319
MEM 205.246094 1652109564.9322
MEM 194.160156 1652109565.0325
MEM 201.636719 1652109565.1327
MEM 205.246094 1652109565.2329
MEM 205.246094 1652109565.3332
MEM 194.160156 1652109565.4334
MEM 201.378906 1652109565.5337
MEM 204.988281 1652109565.6339
MEM 204.988281 1652109565.7341
MEM 194.160156 1652109565.8344
MEM 201.378906 1652109565.9346
MEM 204.988281 1652109566.0349
MEM 194.160156 1652109566.1351
MEM 194.160156 1652109566.2353
MEM 204.988281 1652109566.3356
MEM 204.988281 1652109566.4358
MEM 194.160156 1652109566.5361
MEM 198.027344 1652109566.6363
MEM 205.246094 1652109566.7366
MEM 205.246094 1652109566.8370
MEM 194.160156 1652109566.9374
MEM 201.636719 1652109567.0377
MEM 205.246094 1652109567.1380
MEM 205.246094 1652109567.2383
MEM 194.160156 1652109567.3387
MEM 201.378906 1652109567.4390
MEM 204.988281 1652109567.5393
MEM 194.160156 1652109567.6397
MEM 194.160156 1652109567.7400
MEM 201.378906 1652109567.8403
MEM 204.988281 1652109567.9407
MEM 194.160156 1652109568.0410
MEM 194.160156 1652109568.1413
MEM 204.988281 1652109568.2416
MEM 204.988281 1652109568.3419
MEM 194.160156 1652109568.4423
MEM 201.636719 1652109568.5426
MEM 205.246094 1652109568.6429
MEM 203.242188 1652109568.7432
MEM 194.160156 1652109568.8435
MEM 201.636719 1652109568.9438
MEM 205.246094 1652109569.0441
MEM 194.160156 1652109569.1445
MEM 194.160156 1652109569.2447
MEM 204.988281 1652109569.3451
MEM 204.988281 1652109569.4454
MEM 194.160156 1652109569.5457
MEM 201.378906 1652109569.6460
MEM 204.988281 1652109569.7464
MEM 204.988281 1652109569.8466
MEM 194.160156 1652109569.9470
MEM 201.378906 1652109570.0473
MEM 204.988281 1652109570.1477
MEM 194.160156 1652109570.2480
MEM 194.160156 1652109570.3484
MEM 205.246094 1652109570.4488
MEM 205.246094 1652109570.5492
MEM 194.160156 1652109570.6495
MEM 194.160156 1652109570.7498
MEM 205.246094 1652109570.8501
MEM 205.246094 1652109570.9505
MEM 194.160156 1652109571.0509
MEM 201.378906 1652109571.1511
MEM 204.988281 1652109571.2515
MEM 190.812500 1652109571.3519
MEM 194.160156 1652109571.4522
MEM 201.378906 1652109571.5527
MEM 204.988281 1652109571.6530
MEM 194.160156 1652109571.7534
MEM 194.160156 1652109571.8536
MEM 204.988281 1652109571.9540
MEM 204.988281 1652109572.0543
MEM 194.160156 1652109572.1547
MEM 201.636719 1652109572.2550
MEM 205.246094 1652109572.3553
MEM 205.246094 1652109572.4556
MEM 194.160156 1652109572.5560
MEM 201.636719 1652109572.6562
MEM 205.246094 1652109572.7565
MEM 190.812500 1652109572.8569
MEM 194.160156 1652109572.9573
MEM 201.378906 1652109573.0576
MEM 204.988281 1652109573.1579
MEM 194.160156 1652109573.2583
MEM 194.160156 1652109573.3585
MEM 204.988281 1652109573.4589
MEM 204.988281 1652109573.5591
MEM 194.160156 1652109573.6595
MEM 201.378906 1652109573.7598
MEM 204.988281 1652109573.8601
MEM 204.988281 1652109573.9603
