Time: 1:05.26, Memory: 0
Time: 1:08.87, Memory: 0
Time: 1:07.96, Memory: 0
Time: 1:07.26, Memory: 0
Time: 1:18.40, Memory: 0

Time: 38:35.46, Memory: 0
Time: 34:53.69, Memory: 0
Time: 33:33.12, Memory: 0
Time: 32:37.70, Memory: 0
Time: 33:11.86, Memory: 0

Time: 1:47:51, Memory: 0
Time: 1:49:54, Memory: 0
Time: 1:52:39, Memory: 0
Time: 1:51:28, Memory: 0
Time: 1:45:40, Memory: 0
