CMDLINE /usr/bin/python3 scripts/PCA-SVM-Malaria.py
MEM 384.800781 1652244626.3516
MEM 384.800781 1652244626.4521
MEM 384.800781 1652244626.5525
MEM 384.800781 1652244626.6551
MEM 384.800781 1652244626.7554
MEM 384.800781 1652244626.8558
MEM 384.800781 1652244626.9578
MEM 384.800781 1652244627.0583
MEM 384.800781 1652244627.1586
MEM 384.800781 1652244627.2589
MEM 384.800781 1652244627.3593
MEM 384.800781 1652244627.4597
MEM 384.800781 1652244627.5601
MEM 384.800781 1652244627.6604
MEM 384.800781 1652244627.7608
MEM 384.800781 1652244627.8611
MEM 384.800781 1652244627.9668
MEM 384.800781 1652244628.0672
MEM 384.800781 1652244628.1675
MEM 384.800781 1652244628.2712
MEM 384.800781 1652244628.3716
MEM 384.800781 1652244628.4719
MEM 384.800781 1652244628.5722
MEM 384.800781 1652244628.6726
MEM 384.800781 1652244628.7728
MEM 385.050781 1652244628.8732
MEM 385.050781 1652244628.9735
MEM 385.050781 1652244629.0738
MEM 385.050781 1652244629.1742
MEM 385.050781 1652244629.2745
MEM 385.050781 1652244629.3748
MEM 385.050781 1652244629.4760
MEM 385.050781 1652244629.5762
MEM 385.050781 1652244629.6774
MEM 385.050781 1652244629.7777
MEM 385.050781 1652244629.8781
MEM 385.050781 1652244629.9783
MEM 385.050781 1652244630.0786
MEM 385.050781 1652244630.1798
MEM 385.050781 1652244630.2801
MEM 385.050781 1652244630.3804
MEM 385.050781 1652244630.4807
MEM 385.050781 1652244630.5810
MEM 385.050781 1652244630.6812
MEM 385.050781 1652244630.7815
MEM 385.050781 1652244630.8817
MEM 385.050781 1652244630.9820
MEM 385.050781 1652244631.0822
MEM 385.050781 1652244631.1847
MEM 385.050781 1652244631.2850
MEM 385.050781 1652244631.3853
MEM 385.050781 1652244631.4856
MEM 385.050781 1652244631.5858
MEM 385.050781 1652244631.6861
MEM 385.050781 1652244631.7864
MEM 385.050781 1652244631.8866
MEM 385.050781 1652244631.9869
MEM 385.050781 1652244632.0871
MEM 385.050781 1652244632.1873
MEM 385.050781 1652244632.2918
MEM 385.050781 1652244632.3920
MEM 385.050781 1652244632.4925
MEM 385.050781 1652244632.5930
MEM 385.050781 1652244632.6935
MEM 385.050781 1652244632.7939
MEM 385.050781 1652244632.8942
MEM 385.050781 1652244632.9946
MEM 385.050781 1652244633.0950
MEM 385.050781 1652244633.1954
MEM 385.050781 1652244633.2979
MEM 385.050781 1652244633.3984
MEM 385.050781 1652244633.5003
MEM 385.050781 1652244633.6007
MEM 385.050781 1652244633.7010
MEM 385.050781 1652244633.8013
MEM 385.050781 1652244633.9016
MEM 385.050781 1652244634.0018
MEM 385.050781 1652244634.1022
MEM 385.050781 1652244634.2024
MEM 385.050781 1652244634.3027
MEM 385.050781 1652244634.4030
MEM 385.050781 1652244634.5033
MEM 385.050781 1652244634.6035
MEM 385.050781 1652244634.7038
MEM 385.050781 1652244634.8040
MEM 385.050781 1652244634.9043
MEM 385.050781 1652244635.0046
MEM 385.050781 1652244635.1049
MEM 385.050781 1652244635.2053
MEM 385.050781 1652244635.3057
MEM 385.050781 1652244635.4061
MEM 385.050781 1652244635.5065
MEM 385.050781 1652244635.6068
MEM 385.050781 1652244635.7071
MEM 385.050781 1652244635.8074
MEM 385.050781 1652244635.9077
MEM 385.050781 1652244636.0079
MEM 385.050781 1652244636.1083
MEM 385.050781 1652244636.2087
MEM 385.050781 1652244636.3090
MEM 385.050781 1652244636.4094
MEM 385.050781 1652244636.5112
MEM 385.050781 1652244636.6152
MEM 385.050781 1652244636.7247
MEM 385.050781 1652244636.8250
MEM 385.050781 1652244636.9272
MEM 385.050781 1652244637.0276
MEM 385.050781 1652244637.1280
MEM 385.050781 1652244637.2284
MEM 385.050781 1652244637.3287
MEM 385.050781 1652244637.4290
MEM 385.050781 1652244637.5352
MEM 385.050781 1652244637.6356
MEM 385.050781 1652244637.7360
MEM 385.050781 1652244637.8364
MEM 385.050781 1652244637.9382
MEM 385.050781 1652244638.0387
MEM 385.050781 1652244638.1391
MEM 385.050781 1652244638.2394
MEM 385.050781 1652244638.3432
MEM 385.050781 1652244638.4437
MEM 385.050781 1652244638.5442
MEM 385.050781 1652244638.6447
MEM 385.050781 1652244638.7451
MEM 385.050781 1652244638.8460
MEM 385.050781 1652244638.9463
MEM 385.050781 1652244639.0468
MEM 385.050781 1652244639.1472
MEM 385.050781 1652244639.2478
MEM 385.050781 1652244639.3501
MEM 385.050781 1652244639.4506
MEM 385.050781 1652244639.5511
MEM 385.050781 1652244639.6516
MEM 385.050781 1652244639.7521
MEM 385.050781 1652244639.8540
MEM 385.050781 1652244639.9580
MEM 385.050781 1652244640.0584
MEM 385.050781 1652244640.1589
MEM 385.050781 1652244640.2591
MEM 385.050781 1652244640.3596
MEM 385.050781 1652244640.4600
MEM 385.050781 1652244640.5603
MEM 385.050781 1652244640.6607
MEM 385.050781 1652244640.7611
MEM 385.050781 1652244640.8616
MEM 385.050781 1652244640.9619
MEM 385.050781 1652244641.0622
MEM 385.050781 1652244641.1625
MEM 385.050781 1652244641.2628
MEM 385.050781 1652244641.3631
MEM 385.050781 1652244641.4635
MEM 385.050781 1652244641.5639
MEM 385.050781 1652244641.6643
MEM 385.050781 1652244641.7647
MEM 385.050781 1652244641.8651
MEM 385.050781 1652244641.9655
MEM 385.050781 1652244642.0658
MEM 385.050781 1652244642.1662
MEM 385.050781 1652244642.2689
MEM 385.050781 1652244642.3692
MEM 385.050781 1652244642.4757
MEM 385.050781 1652244642.5761
MEM 385.050781 1652244642.6764
MEM 385.050781 1652244642.7770
MEM 385.050781 1652244642.8774
MEM 385.050781 1652244642.9778
MEM 385.050781 1652244643.0781
MEM 385.050781 1652244643.1786
MEM 385.050781 1652244643.2790
MEM 385.050781 1652244643.3825
MEM 385.050781 1652244643.4828
MEM 385.050781 1652244643.5832
MEM 385.050781 1652244643.6840
MEM 385.050781 1652244643.7886
MEM 385.050781 1652244643.8924
MEM 385.050781 1652244643.9951
MEM 385.050781 1652244644.1034
MEM 385.050781 1652244644.2039
MEM 385.050781 1652244644.3044
MEM 385.050781 1652244644.4048
MEM 385.050781 1652244644.5054
MEM 385.050781 1652244644.6059
MEM 385.050781 1652244644.7064
MEM 385.050781 1652244644.8070
MEM 385.050781 1652244644.9074
MEM 385.050781 1652244645.0082
MEM 385.050781 1652244645.1087
MEM 385.050781 1652244645.2092
MEM 385.050781 1652244645.3095
MEM 385.050781 1652244645.4099
MEM 385.050781 1652244645.5103
MEM 385.050781 1652244645.6108
MEM 385.050781 1652244645.7112
MEM 385.050781 1652244645.8115
MEM 385.050781 1652244645.9119
MEM 385.050781 1652244646.0122
MEM 385.050781 1652244646.1126
MEM 385.050781 1652244646.2129
MEM 385.050781 1652244646.3133
MEM 385.050781 1652244646.4137
MEM 385.050781 1652244646.5140
MEM 385.050781 1652244646.6143
MEM 385.050781 1652244646.7145
MEM 385.050781 1652244646.8148
MEM 385.050781 1652244646.9152
MEM 385.050781 1652244647.0156
MEM 385.050781 1652244647.1159
MEM 385.050781 1652244647.2162
MEM 385.050781 1652244647.3165
MEM 385.050781 1652244647.4183
MEM 385.050781 1652244647.5186
MEM 385.050781 1652244647.6190
MEM 385.050781 1652244647.7194
MEM 385.050781 1652244647.8198
MEM 385.050781 1652244647.9202
MEM 385.050781 1652244648.0205
MEM 385.050781 1652244648.1208
MEM 385.050781 1652244648.2212
MEM 385.050781 1652244648.3216
MEM 385.050781 1652244648.4229
MEM 385.050781 1652244648.5233
MEM 385.050781 1652244648.6237
MEM 385.050781 1652244648.7255
MEM 385.050781 1652244648.8258
MEM 385.050781 1652244648.9262
MEM 385.050781 1652244649.0265
MEM 385.050781 1652244649.1268
MEM 385.050781 1652244649.2272
MEM 385.050781 1652244649.3291
MEM 385.050781 1652244649.4295
MEM 385.050781 1652244649.5297
MEM 385.050781 1652244649.6300
MEM 385.050781 1652244649.7304
MEM 385.050781 1652244649.8307
MEM 385.050781 1652244649.9311
MEM 385.050781 1652244650.0314
MEM 385.050781 1652244650.1318
MEM 385.050781 1652244650.2321
MEM 385.050781 1652244650.3324
MEM 385.050781 1652244650.4327
MEM 385.050781 1652244650.5330
MEM 385.050781 1652244650.6333
MEM 385.050781 1652244650.7336
MEM 385.050781 1652244650.8340
MEM 385.050781 1652244650.9344
MEM 385.050781 1652244651.0348
MEM 385.050781 1652244651.1352
MEM 385.050781 1652244651.2356
MEM 385.050781 1652244651.3360
MEM 385.050781 1652244651.4364
MEM 385.050781 1652244651.5368
MEM 385.050781 1652244651.6372
MEM 385.050781 1652244651.7376
MEM 385.050781 1652244651.8380
MEM 385.050781 1652244651.9383
MEM 385.050781 1652244652.0387
MEM 385.050781 1652244652.1390
MEM 385.050781 1652244652.2393
MEM 385.050781 1652244652.3396
MEM 385.050781 1652244652.4399
MEM 385.050781 1652244652.5401
MEM 385.050781 1652244652.6404
MEM 385.050781 1652244652.7407
MEM 385.050781 1652244652.8411
MEM 385.050781 1652244652.9414
MEM 385.050781 1652244653.0417
MEM 385.050781 1652244653.1420
MEM 385.050781 1652244653.2423
MEM 385.050781 1652244653.3427
MEM 385.050781 1652244653.4431
MEM 385.050781 1652244653.5435
MEM 385.050781 1652244653.6437
MEM 385.050781 1652244653.7440
MEM 385.050781 1652244653.8444
MEM 385.050781 1652244653.9447
MEM 385.050781 1652244654.0451
MEM 385.050781 1652244654.1455
MEM 385.050781 1652244654.2458
MEM 385.050781 1652244654.3461
MEM 385.050781 1652244654.4495
MEM 385.050781 1652244654.5498
MEM 385.050781 1652244654.6501
MEM 385.050781 1652244654.7505
MEM 385.050781 1652244654.8508
MEM 385.050781 1652244654.9513
MEM 385.050781 1652244655.0518
MEM 385.050781 1652244655.1522
MEM 385.050781 1652244655.2525
MEM 385.050781 1652244655.3529
MEM 385.050781 1652244655.4534
MEM 385.050781 1652244655.5537
MEM 385.050781 1652244655.6540
MEM 385.050781 1652244655.7544
MEM 385.050781 1652244655.8547
MEM 385.050781 1652244655.9551
MEM 385.050781 1652244656.0554
MEM 385.050781 1652244656.1557
MEM 385.050781 1652244656.2560
MEM 385.050781 1652244656.3563
MEM 385.050781 1652244656.4567
MEM 385.050781 1652244656.5570
MEM 385.050781 1652244656.6573
MEM 385.050781 1652244656.7598
MEM 385.050781 1652244656.8614
MEM 385.050781 1652244656.9617
MEM 385.050781 1652244657.0620
MEM 385.050781 1652244657.1624
MEM 385.050781 1652244657.2684
MEM 385.050781 1652244657.3711
MEM 385.050781 1652244657.4715
MEM 385.050781 1652244657.5719
MEM 385.050781 1652244657.6723
MEM 385.050781 1652244657.7726
MEM 385.050781 1652244657.8730
MEM 385.050781 1652244657.9734
MEM 385.050781 1652244658.0738
MEM 385.050781 1652244658.1742
MEM 385.050781 1652244658.2746
MEM 385.050781 1652244658.3751
MEM 385.050781 1652244658.4755
MEM 385.050781 1652244658.5758
MEM 385.050781 1652244658.6763
MEM 385.050781 1652244658.7767
MEM 385.050781 1652244658.8772
MEM 385.050781 1652244658.9776
MEM 385.050781 1652244659.0779
MEM 385.050781 1652244659.1781
MEM 385.050781 1652244659.2797
MEM 385.050781 1652244659.3801
MEM 385.050781 1652244659.4803
MEM 385.050781 1652244659.5831
MEM 385.050781 1652244659.6834
MEM 385.050781 1652244659.7837
MEM 385.050781 1652244659.8841
MEM 385.050781 1652244659.9844
MEM 385.050781 1652244660.0852
MEM 385.050781 1652244660.1855
MEM 385.050781 1652244660.2857
MEM 385.050781 1652244660.3860
MEM 385.050781 1652244660.4863
MEM 385.050781 1652244660.5865
MEM 385.050781 1652244660.6868
MEM 385.050781 1652244660.7872
MEM 385.050781 1652244660.8875
MEM 385.050781 1652244660.9878
MEM 385.050781 1652244661.0881
MEM 385.050781 1652244661.1883
MEM 385.050781 1652244661.2886
MEM 385.050781 1652244661.3911
MEM 385.050781 1652244661.4914
MEM 385.050781 1652244661.5916
MEM 385.050781 1652244661.6936
MEM 385.050781 1652244661.7939
MEM 385.050781 1652244661.8941
MEM 385.050781 1652244661.9944
MEM 385.050781 1652244662.0946
MEM 385.050781 1652244662.1949
MEM 385.050781 1652244662.2955
MEM 385.050781 1652244662.3958
MEM 385.050781 1652244662.4979
MEM 385.050781 1652244662.5982
MEM 385.050781 1652244662.6984
MEM 385.050781 1652244662.7987
MEM 385.050781 1652244662.8989
MEM 385.050781 1652244662.9992
MEM 385.050781 1652244663.0995
MEM 385.050781 1652244663.1997
MEM 385.050781 1652244663.2999
MEM 385.050781 1652244663.4002
MEM 385.050781 1652244663.5005
MEM 385.050781 1652244663.6007
MEM 385.050781 1652244663.7010
MEM 385.050781 1652244663.8013
MEM 385.050781 1652244663.9017
MEM 385.050781 1652244664.0021
MEM 385.050781 1652244664.1025
MEM 385.050781 1652244664.2029
MEM 385.050781 1652244664.3036
MEM 385.050781 1652244664.4040
MEM 385.050781 1652244664.5045
MEM 385.050781 1652244664.6049
MEM 385.050781 1652244664.7053
MEM 385.050781 1652244664.8056
MEM 385.050781 1652244664.9060
MEM 385.050781 1652244665.0063
MEM 385.050781 1652244665.1065
MEM 385.050781 1652244665.2068
MEM 385.050781 1652244665.3071
MEM 385.050781 1652244665.4074
MEM 385.050781 1652244665.5077
MEM 385.050781 1652244665.6080
MEM 385.050781 1652244665.7082
MEM 385.050781 1652244665.8086
MEM 385.050781 1652244665.9088
MEM 385.050781 1652244666.0091
MEM 385.050781 1652244666.1096
MEM 385.050781 1652244666.2099
MEM 385.050781 1652244666.3103
MEM 385.050781 1652244666.4106
MEM 385.050781 1652244666.5110
MEM 385.050781 1652244666.6114
MEM 385.050781 1652244666.7117
MEM 385.050781 1652244666.8119
MEM 385.050781 1652244666.9122
MEM 385.050781 1652244667.0126
MEM 385.050781 1652244667.1129
MEM 385.050781 1652244667.2133
