CMDLINE /usr/bin/python3 scripts/Lasso-RF-TARA.py
MEM 269.613281 1652252358.6193
MEM 228.914062 1652252358.7197
MEM 240.503906 1652252358.8200
MEM 260.082031 1652252358.9203
MEM 269.613281 1652252359.0206
MEM 269.613281 1652252359.1209
MEM 269.613281 1652252359.2217
MEM 228.914062 1652252359.3220
MEM 240.503906 1652252359.4223
MEM 260.082031 1652252359.5226
MEM 269.871094 1652252359.6230
MEM 269.871094 1652252359.7258
MEM 269.871094 1652252359.8260
MEM 269.871094 1652252359.9263
MEM 269.871094 1652252360.0265
MEM 240.503906 1652252360.1269
MEM 260.082031 1652252360.2271
MEM 269.613281 1652252360.3276
MEM 269.613281 1652252360.4279
MEM 269.613281 1652252360.5282
MEM 238.441406 1652252360.6285
MEM 240.503906 1652252360.7288
MEM 260.082031 1652252360.8291
MEM 269.613281 1652252360.9294
MEM 269.613281 1652252361.0296
MEM 269.613281 1652252361.1299
MEM 240.503906 1652252361.2302
MEM 254.808594 1652252361.3306
MEM 260.082031 1652252361.4309
MEM 269.613281 1652252361.5313
MEM 269.613281 1652252361.6317
MEM 269.613281 1652252361.7321
MEM 240.503906 1652252361.8326
MEM 240.503906 1652252361.9329
MEM 260.082031 1652252362.0332
MEM 269.613281 1652252362.1336
MEM 269.613281 1652252362.2340
MEM 269.613281 1652252362.3343
MEM 240.503906 1652252362.4348
MEM 260.082031 1652252362.5352
MEM 260.082031 1652252362.6356
MEM 269.871094 1652252362.7378
MEM 269.871094 1652252362.8381
MEM 269.871094 1652252362.9384
MEM 240.503906 1652252363.0388
MEM 260.082031 1652252363.1391
MEM 269.613281 1652252363.2396
MEM 269.613281 1652252363.3400
MEM 269.613281 1652252363.4404
MEM 240.503906 1652252363.5407
MEM 260.082031 1652252363.6411
MEM 269.613281 1652252363.7415
MEM 269.613281 1652252363.8419
MEM 269.613281 1652252363.9422
MEM 240.503906 1652252364.0426
MEM 260.082031 1652252364.1429
MEM 269.613281 1652252364.2433
MEM 269.613281 1652252364.3437
MEM 269.613281 1652252364.4442
MEM 269.613281 1652252364.5445
MEM 240.503906 1652252364.6448
MEM 260.082031 1652252364.7452
MEM 269.613281 1652252364.8456
MEM 269.613281 1652252364.9460
