CMDLINE /usr/bin/python3 scripts/AE-RF-Malaria.py
MEM 1682.750000 1652242447.8746
MEM 1693.820312 1652242447.9751
MEM 1709.984375 1652242448.0755
MEM 1728.183594 1652242448.1759
MEM 1731.042969 1652242448.2763
MEM 1746.656250 1652242448.3767
MEM 1752.082031 1652242448.4772
MEM 1763.109375 1652242448.5776
MEM 1763.093750 1652242448.6780
MEM 1764.292969 1652242448.7785
MEM 1764.292969 1652242448.8790
MEM 1765.250000 1652242448.9794
MEM 1765.250000 1652242449.0797
MEM 1765.250000 1652242449.1801
MEM 1765.503906 1652242449.2805
MEM 1765.503906 1652242449.3809
MEM 1773.210938 1652242449.4813
MEM 1773.210938 1652242449.5818
MEM 1773.433594 1652242449.6822
MEM 1789.156250 1652242449.7826
MEM 1789.156250 1652242449.8830
MEM 1789.156250 1652242449.9834
MEM 1789.421875 1652242450.0838
MEM 1789.421875 1652242450.1842
MEM 1800.488281 1652242450.2846
MEM 1800.800781 1652242450.3850
MEM 1800.800781 1652242450.4853
MEM 1800.800781 1652242450.5858
MEM 1800.800781 1652242450.6862
MEM 1800.800781 1652242450.7865
MEM 1809.562500 1652242450.8870
MEM 1809.601562 1652242450.9874
MEM 1814.601562 1652242451.0878
MEM 1830.574219 1652242451.1890
MEM 1845.511719 1652242451.2894
MEM 1853.449219 1652242451.3898
MEM 1860.843750 1652242451.4902
MEM 1867.082031 1652242451.5908
MEM 1872.191406 1652242451.6912
MEM 1875.281250 1652242451.7916
MEM 1875.492188 1652242451.8921
MEM 1880.054688 1652242451.9925
MEM 1880.226562 1652242452.0929
MEM 1880.226562 1652242452.1933
MEM 1880.226562 1652242452.2937
MEM 1880.226562 1652242452.3940
MEM 1880.480469 1652242452.4944
MEM 1880.367188 1652242452.5949
MEM 1887.394531 1652242452.6952
MEM 1887.640625 1652242452.7955
MEM 1887.640625 1652242452.8959
MEM 1897.445312 1652242452.9963
MEM 1918.953125 1652242453.0967
MEM 1918.953125 1652242453.1970
MEM 1919.289062 1652242453.2975
MEM 1919.289062 1652242453.3979
MEM 1919.289062 1652242453.4982
MEM 1933.691406 1652242453.5987
MEM 1933.691406 1652242453.6991
MEM 1933.937500 1652242453.7994
MEM 1933.937500 1652242453.8998
MEM 1933.937500 1652242454.0002
MEM 1933.937500 1652242454.1006
MEM 1933.937500 1652242454.2009
MEM 1942.441406 1652242454.3012
MEM 1942.441406 1652242454.4015
MEM 1963.789062 1652242454.5019
MEM 1977.980469 1652242454.6032
MEM 1985.585938 1652242454.7036
MEM 1989.949219 1652242454.8040
MEM 1992.519531 1652242454.9045
MEM 1998.167969 1652242455.0049
MEM 2002.964844 1652242455.1053
MEM 2006.730469 1652242455.2058
MEM 2006.710938 1652242455.3062
MEM 2006.710938 1652242455.4065
MEM 2007.425781 1652242455.5069
MEM 2007.425781 1652242455.6071
MEM 2007.425781 1652242455.7073
MEM 2007.679688 1652242455.8076
MEM 2007.660156 1652242455.9080
MEM 2007.660156 1652242456.0083
MEM 2007.914062 1652242456.1086
MEM 2020.429688 1652242456.2089
MEM 2039.160156 1652242456.3093
MEM 2039.160156 1652242456.4096
MEM 2039.160156 1652242456.5099
MEM 2039.378906 1652242456.6104
MEM 2051.726562 1652242456.7108
MEM 2059.960938 1652242456.8112
MEM 2060.210938 1652242456.9115
MEM 2060.210938 1652242457.0119
MEM 2060.210938 1652242457.1123
MEM 2060.210938 1652242457.2126
MEM 2060.210938 1652242457.3130
MEM 2060.464844 1652242457.4135
MEM 2066.238281 1652242457.5139
MEM 2090.976562 1652242457.6144
MEM 2110.351562 1652242457.7150
MEM 2127.140625 1652242457.8155
MEM 2143.285156 1652242457.9159
MEM 2148.093750 1652242458.0163
MEM 2150.085938 1652242458.1169
MEM 2152.941406 1652242458.2174
MEM 2156.253906 1652242458.3178
MEM 2159.234375 1652242458.4183
MEM 2161.019531 1652242458.5188
MEM 2161.730469 1652242458.6192
MEM 2161.730469 1652242458.7196
MEM 2161.730469 1652242458.8199
MEM 2161.730469 1652242458.9204
MEM 2161.730469 1652242459.0208
MEM 2161.730469 1652242459.1211
MEM 2161.730469 1652242459.2216
MEM 2161.714844 1652242459.3219
MEM 2161.796875 1652242459.4223
MEM 2161.796875 1652242459.5226
MEM 2162.050781 1652242459.6231
MEM 2162.050781 1652242459.7235
MEM 2161.929688 1652242459.8239
MEM 2161.929688 1652242459.9243
MEM 2161.929688 1652242460.0247
MEM 2177.394531 1652242460.1251
MEM 2177.652344 1652242460.2255
MEM 2177.652344 1652242460.3260
MEM 2177.910156 1652242460.4264
MEM 2178.058594 1652242460.5267
MEM 2179.082031 1652242460.6272
MEM 2183.714844 1652242460.7276
MEM 2183.968750 1652242460.8280
MEM 2183.968750 1652242460.9283
MEM 2183.968750 1652242461.0287
MEM 2183.968750 1652242461.1291
MEM 2183.968750 1652242461.2295
MEM 2183.968750 1652242461.3299
MEM 2192.734375 1652242461.4303
MEM 2192.734375 1652242461.5308
MEM 2211.351562 1652242461.6312
MEM 2226.660156 1652242461.7316
MEM 2236.144531 1652242461.8321
MEM 2245.914062 1652242461.9325
MEM 2246.417969 1652242462.0329
MEM 2246.414062 1652242462.1333
MEM 2252.679688 1652242462.2337
MEM 2253.945312 1652242462.3341
MEM 2256.406250 1652242462.4345
MEM 2256.648438 1652242462.5350
MEM 2257.175781 1652242462.6354
MEM 2257.175781 1652242462.7359
MEM 2257.812500 1652242462.8363
MEM 2258.625000 1652242462.9367
MEM 2258.625000 1652242463.0371
MEM 2258.625000 1652242463.1374
MEM 2258.625000 1652242463.2377
MEM 2258.625000 1652242463.3382
MEM 2258.605469 1652242463.4385
MEM 2258.605469 1652242463.5388
MEM 2258.605469 1652242463.6391
MEM 2258.605469 1652242463.7395
MEM 2258.605469 1652242463.8399
MEM 2258.605469 1652242463.9402
MEM 2258.605469 1652242464.0405
MEM 2258.605469 1652242464.1408
MEM 2259.117188 1652242464.2412
MEM 2290.808594 1652242464.3416
MEM 2290.808594 1652242464.4420
MEM 2290.808594 1652242464.5424
MEM 2290.808594 1652242464.6428
MEM 2290.808594 1652242464.7432
MEM 2290.808594 1652242464.8436
MEM 2291.320312 1652242464.9441
MEM 2291.320312 1652242465.0447
MEM 2308.875000 1652242465.1455
MEM 2316.074219 1652242465.2460
MEM 2331.777344 1652242465.3464
MEM 2349.031250 1652242465.4469
MEM 2351.593750 1652242465.5474
MEM 2351.578125 1652242465.6477
MEM 2352.816406 1652242465.7481
MEM 2352.800781 1652242465.8485
MEM 2354.343750 1652242465.9490
MEM 2356.902344 1652242466.0494
MEM 2357.480469 1652242466.1498
MEM 2357.480469 1652242466.2502
MEM 2357.480469 1652242466.3506
MEM 2357.480469 1652242466.4510
MEM 2358.503906 1652242466.5528
MEM 2358.734375 1652242466.6532
MEM 2358.734375 1652242466.7536
MEM 2358.734375 1652242466.8540
MEM 2358.734375 1652242466.9545
MEM 2358.734375 1652242467.0550
MEM 2358.734375 1652242467.1553
MEM 2358.734375 1652242467.2556
MEM 2358.734375 1652242467.3559
MEM 2358.734375 1652242467.4562
MEM 2384.269531 1652242467.5566
MEM 2385.042969 1652242467.6569
MEM 2385.042969 1652242467.7572
MEM 2385.042969 1652242467.8574
MEM 2385.042969 1652242467.9577
MEM 2385.042969 1652242468.0580
MEM 2385.042969 1652242468.1583
MEM 2385.757812 1652242468.2586
MEM 2385.757812 1652242468.3591
MEM 2403.082031 1652242468.4595
MEM 2416.542969 1652242468.5599
MEM 2421.941406 1652242468.6604
MEM 2426.308594 1652242468.7609
MEM 2426.308594 1652242468.8614
MEM 2435.304688 1652242468.9618
MEM 2445.257812 1652242469.0622
MEM 2452.980469 1652242469.1627
MEM 2452.980469 1652242469.2631
MEM 2456.570312 1652242469.3635
MEM 2458.675781 1652242469.4639
MEM 2462.621094 1652242469.5644
MEM 2462.621094 1652242469.6648
MEM 2462.621094 1652242469.7652
MEM 2462.621094 1652242469.8656
MEM 2462.621094 1652242469.9660
MEM 2462.613281 1652242470.0665
MEM 2462.613281 1652242470.1668
MEM 2462.613281 1652242470.2671
MEM 2462.613281 1652242470.3675
MEM 2462.867188 1652242470.4679
MEM 2464.304688 1652242470.5683
MEM 2464.304688 1652242470.6688
MEM 2464.304688 1652242470.7692
MEM 2464.304688 1652242470.8695
MEM 2464.304688 1652242470.9699
MEM 2464.304688 1652242471.0704
MEM 2464.304688 1652242471.1707
MEM 2464.304688 1652242471.2711
MEM 2464.304688 1652242471.3715
MEM 2464.304688 1652242471.4719
MEM 2482.847656 1652242471.5724
MEM 2486.714844 1652242471.6728
MEM 2486.714844 1652242471.7732
MEM 2486.714844 1652242471.8736
MEM 2486.714844 1652242471.9740
MEM 2486.714844 1652242472.0744
MEM 2486.714844 1652242472.1748
MEM 2487.226562 1652242472.2752
MEM 2487.226562 1652242472.3755
MEM 2487.226562 1652242472.4759
MEM 2497.558594 1652242472.5763
MEM 2516.359375 1652242472.6767
MEM 2520.718750 1652242472.7771
MEM 2527.929688 1652242472.8792
MEM 2538.226562 1652242472.9796
MEM 2541.308594 1652242473.0801
MEM 2552.394531 1652242473.1808
MEM 2560.375000 1652242473.2812
MEM 2560.355469 1652242473.3822
MEM 2560.347656 1652242473.4826
MEM 2560.339844 1652242473.5830
MEM 2560.324219 1652242473.6835
MEM 2560.324219 1652242473.7839
MEM 2560.648438 1652242473.8843
MEM 2560.648438 1652242473.9846
MEM 2560.648438 1652242474.0850
MEM 2560.648438 1652242474.1854
MEM 2560.648438 1652242474.2858
MEM 2560.628906 1652242474.3863
MEM 2560.628906 1652242474.4867
MEM 2560.628906 1652242474.5870
MEM 2560.628906 1652242474.6874
MEM 2560.628906 1652242474.7878
MEM 2560.628906 1652242474.8882
MEM 2560.628906 1652242474.9885
MEM 2560.628906 1652242475.0889
MEM 2560.628906 1652242475.1894
MEM 2563.195312 1652242475.2898
MEM 2572.734375 1652242475.3902
MEM 2572.734375 1652242475.4906
MEM 2572.734375 1652242475.5910
MEM 2572.734375 1652242475.6914
MEM 2572.734375 1652242475.7917
MEM 2572.734375 1652242475.8921
MEM 2573.304688 1652242475.9925
MEM 2573.304688 1652242476.0929
MEM 2586.480469 1652242476.1933
MEM 2589.851562 1652242476.2938
MEM 2611.718750 1652242476.3942
MEM 2621.250000 1652242476.4946
MEM 2625.613281 1652242476.5950
MEM 2630.511719 1652242476.6955
MEM 2630.496094 1652242476.7960
MEM 2632.542969 1652242476.8964
MEM 2633.812500 1652242476.9968
MEM 2634.843750 1652242477.0973
MEM 2635.386719 1652242477.1977
MEM 2635.375000 1652242477.2981
MEM 2635.375000 1652242477.3985
MEM 2636.566406 1652242477.4990
MEM 2636.566406 1652242477.5994
MEM 2636.566406 1652242477.6997
MEM 2636.566406 1652242477.8001
MEM 2636.566406 1652242477.9006
MEM 2636.550781 1652242478.0010
MEM 2636.550781 1652242478.1014
MEM 2636.550781 1652242478.2017
MEM 2636.550781 1652242478.3021
MEM 2636.550781 1652242478.4025
MEM 2636.550781 1652242478.5029
MEM 2636.550781 1652242478.6033
MEM 2636.550781 1652242478.7037
MEM 2636.550781 1652242478.8040
MEM 2642.726562 1652242478.9045
MEM 2644.015625 1652242479.0049
MEM 2644.015625 1652242479.1052
MEM 2644.015625 1652242479.2055
MEM 2644.015625 1652242479.3059
MEM 2644.015625 1652242479.4063
MEM 2644.015625 1652242479.5067
MEM 2644.527344 1652242479.6071
MEM 2644.527344 1652242479.7075
MEM 2646.871094 1652242479.8079
MEM 2654.855469 1652242479.9084
MEM 2660.253906 1652242480.0089
MEM 2666.941406 1652242480.1097
MEM 2669.761719 1652242480.2101
MEM 2672.328125 1652242480.3106
MEM 2675.152344 1652242480.4110
MEM 2676.722656 1652242480.5114
MEM 2676.707031 1652242480.6126
MEM 2676.691406 1652242480.7131
MEM 2676.675781 1652242480.8136
MEM 2678.468750 1652242480.9140
MEM 2678.925781 1652242481.0144
MEM 2678.925781 1652242481.1146
MEM 2678.925781 1652242481.2149
MEM 2678.925781 1652242481.3152
MEM 2678.925781 1652242481.4155
MEM 2678.910156 1652242481.5159
MEM 2678.910156 1652242481.6162
MEM 2678.910156 1652242481.7165
MEM 2678.910156 1652242481.8169
MEM 2678.910156 1652242481.9172
MEM 2678.910156 1652242482.0175
MEM 2678.910156 1652242482.1178
MEM 2678.910156 1652242482.2182
MEM 2682.515625 1652242482.3186
MEM 2682.515625 1652242482.4190
MEM 2682.515625 1652242482.5193
MEM 2682.515625 1652242482.6198
MEM 2682.515625 1652242482.7202
MEM 2682.515625 1652242482.8205
MEM 2682.515625 1652242482.9208
MEM 2682.515625 1652242483.0213
MEM 2683.027344 1652242483.1217
MEM 2683.027344 1652242483.2221
MEM 2691.046875 1652242483.3225
MEM 2695.402344 1652242483.4230
MEM 2697.441406 1652242483.5234
MEM 2700.519531 1652242483.6239
MEM 2700.519531 1652242483.7243
MEM 2700.503906 1652242483.8247
MEM 2701.265625 1652242483.9251
MEM 2711.429688 1652242484.0255
MEM 2711.429688 1652242484.1274
MEM 2713.507812 1652242484.2278
MEM 2714.742188 1652242484.3283
MEM 2715.886719 1652242484.4287
MEM 2716.105469 1652242484.5291
MEM 2716.105469 1652242484.6295
MEM 2716.105469 1652242484.7299
MEM 2716.105469 1652242484.8303
MEM 2716.105469 1652242484.9306
MEM 2716.082031 1652242485.0310
