CMDLINE /usr/bin/python3 scripts/PCA-RF-TARA.py
MEM 212.714844 1652255040.3044
MEM 212.714844 1652255040.4048
MEM 212.714844 1652255040.5050
MEM 212.714844 1652255040.6053
MEM 213.445312 1652255040.7056
MEM 213.445312 1652255040.8060
MEM 213.824219 1652255040.9064
MEM 214.308594 1652255041.0068
MEM 214.820312 1652255041.1072
MEM 214.921875 1652255041.2076
MEM 214.921875 1652255041.3080
MEM 214.921875 1652255041.4096
MEM 214.921875 1652255041.5100
MEM 214.921875 1652255041.6119
MEM 214.921875 1652255041.7123
MEM 214.921875 1652255041.8126
MEM 214.921875 1652255041.9130
MEM 214.921875 1652255042.0133
MEM 214.921875 1652255042.1136
MEM 214.921875 1652255042.2140
MEM 214.921875 1652255042.3143
MEM 214.921875 1652255042.4146
MEM 214.921875 1652255042.5149
MEM 214.921875 1652255042.6152
MEM 214.921875 1652255042.7155
MEM 214.921875 1652255042.8159
MEM 214.921875 1652255042.9163
MEM 214.921875 1652255043.0166
MEM 214.921875 1652255043.1169
MEM 214.921875 1652255043.2173
MEM 214.933594 1652255043.3176
MEM 214.933594 1652255043.4180
MEM 214.933594 1652255043.5183
MEM 214.933594 1652255043.6186
MEM 214.933594 1652255043.7190
MEM 214.933594 1652255043.8192
MEM 214.933594 1652255043.9195
MEM 214.933594 1652255044.0198
MEM 214.933594 1652255044.1201
MEM 214.933594 1652255044.2204
MEM 214.933594 1652255044.3208
MEM 214.933594 1652255044.4211
MEM 214.933594 1652255044.5214
MEM 214.933594 1652255044.6217
MEM 214.933594 1652255044.7220
MEM 214.933594 1652255044.8224
MEM 214.933594 1652255044.9227
MEM 214.933594 1652255045.0230
MEM 214.933594 1652255045.1233
MEM 214.933594 1652255045.2271
MEM 214.933594 1652255045.3274
MEM 214.933594 1652255045.4279
MEM 214.933594 1652255045.5282
MEM 214.933594 1652255045.6285
MEM 214.933594 1652255045.7288
MEM 214.933594 1652255045.8291
MEM 214.933594 1652255045.9294
MEM 214.933594 1652255046.0298
MEM 214.933594 1652255046.1300
MEM 214.933594 1652255046.2304
MEM 214.933594 1652255046.3307
MEM 214.933594 1652255046.4310
MEM 214.933594 1652255046.5313
MEM 214.933594 1652255046.6316
MEM 214.933594 1652255046.7319
MEM 214.933594 1652255046.8322
MEM 214.933594 1652255046.9325
MEM 214.933594 1652255047.0344
MEM 214.933594 1652255047.1348
MEM 214.933594 1652255047.2350
MEM 214.933594 1652255047.3353
MEM 214.933594 1652255047.4356
MEM 214.933594 1652255047.5359
MEM 214.933594 1652255047.6362
MEM 214.933594 1652255047.7365
MEM 214.933594 1652255047.8369
MEM 214.933594 1652255047.9372
MEM 214.933594 1652255048.0374
MEM 214.933594 1652255048.1377
MEM 214.933594 1652255048.2381
MEM 214.933594 1652255048.3384
MEM 214.933594 1652255048.4406
MEM 214.933594 1652255048.5409
MEM 214.933594 1652255048.6412
MEM 214.933594 1652255048.7415
MEM 214.933594 1652255048.8418
MEM 214.933594 1652255048.9421
MEM 214.933594 1652255049.0425
MEM 214.933594 1652255049.1428
MEM 214.933594 1652255049.2431
MEM 214.933594 1652255049.3434
MEM 214.933594 1652255049.4437
MEM 214.933594 1652255049.5440
MEM 214.933594 1652255049.6444
MEM 214.933594 1652255049.7447
MEM 214.933594 1652255049.8450
MEM 214.933594 1652255049.9453
MEM 214.933594 1652255050.0456
MEM 214.933594 1652255050.1459
MEM 214.933594 1652255050.2462
MEM 214.933594 1652255050.3465
MEM 214.933594 1652255050.4468
MEM 214.933594 1652255050.5471
MEM 214.933594 1652255050.6474
MEM 214.933594 1652255050.7477
MEM 214.933594 1652255050.8480
MEM 214.933594 1652255050.9482
MEM 214.933594 1652255051.0485
MEM 214.933594 1652255051.1488
MEM 214.933594 1652255051.2491
MEM 214.933594 1652255051.3494
MEM 214.933594 1652255051.4497
MEM 214.933594 1652255051.5499
MEM 214.933594 1652255051.6502
MEM 214.933594 1652255051.7505
MEM 214.933594 1652255051.8507
MEM 214.933594 1652255051.9510
MEM 214.933594 1652255052.0512
MEM 214.933594 1652255052.1515
MEM 214.933594 1652255052.2518
MEM 214.933594 1652255052.3520
MEM 214.933594 1652255052.4523
MEM 214.933594 1652255052.5525
MEM 214.933594 1652255052.6528
MEM 214.933594 1652255052.7531
MEM 214.933594 1652255052.8533
MEM 214.933594 1652255052.9536
MEM 214.933594 1652255053.0539
MEM 214.933594 1652255053.1551
MEM 214.933594 1652255053.2564
MEM 214.933594 1652255053.3567
MEM 214.933594 1652255053.4570
MEM 214.933594 1652255053.5573
MEM 214.933594 1652255053.6576
MEM 214.933594 1652255053.7588
MEM 214.933594 1652255053.8591
MEM 214.933594 1652255053.9594
MEM 214.933594 1652255054.0597
MEM 214.933594 1652255054.1600
MEM 214.933594 1652255054.2603
MEM 214.933594 1652255054.3606
MEM 214.933594 1652255054.4631
MEM 214.933594 1652255054.5635
MEM 214.933594 1652255054.6638
MEM 214.933594 1652255054.7642
MEM 214.933594 1652255054.8668
MEM 214.933594 1652255054.9703
MEM 214.933594 1652255055.0728
MEM 214.933594 1652255055.1731
MEM 214.933594 1652255055.2735
MEM 214.933594 1652255055.3739
MEM 214.933594 1652255055.4742
MEM 214.933594 1652255055.5745
MEM 214.933594 1652255055.6749
MEM 214.933594 1652255055.7752
MEM 214.933594 1652255055.8755
MEM 214.933594 1652255055.9759
MEM 214.933594 1652255056.0762
MEM 214.933594 1652255056.1765
MEM 214.933594 1652255056.2768
MEM 214.933594 1652255056.3771
MEM 214.933594 1652255056.4775
MEM 214.933594 1652255056.5778
MEM 214.933594 1652255056.6781
MEM 214.933594 1652255056.7783
MEM 214.933594 1652255056.8786
MEM 214.933594 1652255056.9790
MEM 214.933594 1652255057.0793
MEM 214.933594 1652255057.1796
MEM 214.933594 1652255057.2799
MEM 214.933594 1652255057.3801
MEM 214.933594 1652255057.4805
