CMDLINE /usr/bin/python3 scripts/Lasso-SVM-Malaria.py
MEM 357.671875 1652244314.9576
MEM 372.960938 1652244315.0580
MEM 372.960938 1652244315.1584
MEM 326.851562 1652244315.2587
MEM 357.671875 1652244315.3591
MEM 372.960938 1652244315.4596
MEM 372.960938 1652244315.5600
MEM 326.851562 1652244315.6604
MEM 357.671875 1652244315.7608
MEM 372.960938 1652244315.8612
MEM 372.960938 1652244315.9617
MEM 324.851562 1652244316.0622
MEM 326.851562 1652244316.1625
MEM 357.414062 1652244316.2630
MEM 372.742188 1652244316.3672
MEM 372.742188 1652244316.4677
MEM 326.851562 1652244316.5681
MEM 357.671875 1652244316.6686
MEM 372.960938 1652244316.7690
MEM 372.960938 1652244316.8694
MEM 316.851562 1652244316.9699
MEM 326.851562 1652244317.0703
MEM 357.671875 1652244317.1707
MEM 372.960938 1652244317.2711
MEM 326.851562 1652244317.3715
MEM 357.671875 1652244317.4719
MEM 372.960938 1652244317.5723
MEM 372.960938 1652244317.6727
MEM 326.851562 1652244317.7732
MEM 357.671875 1652244317.8736
MEM 372.960938 1652244317.9740
MEM 372.960938 1652244318.0743
MEM 324.851562 1652244318.1748
MEM 326.851562 1652244318.2752
MEM 357.414062 1652244318.3756
MEM 372.742188 1652244318.4760
MEM 372.742188 1652244318.5763
MEM 326.851562 1652244318.6767
MEM 357.671875 1652244318.7771
MEM 372.960938 1652244318.8775
MEM 372.960938 1652244318.9779
MEM 326.851562 1652244319.0782
MEM 357.671875 1652244319.1786
MEM 372.960938 1652244319.2791
MEM 372.960938 1652244319.3794
MEM 326.851562 1652244319.4798
MEM 357.671875 1652244319.5802
MEM 372.960938 1652244319.6806
MEM 372.960938 1652244319.7809
MEM 326.851562 1652244319.8813
MEM 357.671875 1652244319.9817
MEM 372.960938 1652244320.0821
MEM 372.960938 1652244320.1824
MEM 326.851562 1652244320.2827
MEM 357.414062 1652244320.3831
MEM 372.742188 1652244320.4836
MEM 372.742188 1652244320.5839
MEM 324.851562 1652244320.6843
MEM 346.925781 1652244320.7847
MEM 357.671875 1652244320.8851
MEM 372.960938 1652244320.9856
MEM 326.851562 1652244321.0860
MEM 326.851562 1652244321.1864
MEM 357.671875 1652244321.2870
MEM 372.960938 1652244321.3875
MEM 326.851562 1652244321.4881
MEM 357.671875 1652244321.5885
MEM 372.960938 1652244321.6889
MEM 372.960938 1652244321.7893
MEM 326.851562 1652244321.8897
MEM 357.671875 1652244321.9901
MEM 372.960938 1652244322.0905
MEM 372.960938 1652244322.1939
MEM 326.851562 1652244322.2944
MEM 348.925781 1652244322.3949
MEM 372.742188 1652244322.4953
MEM 372.742188 1652244322.5958
MEM 311.824219 1652244322.6963
MEM 326.851562 1652244322.7967
MEM 357.671875 1652244322.8971
MEM 372.960938 1652244322.9975
MEM 372.960938 1652244323.0978
MEM 326.851562 1652244323.1982
MEM 357.671875 1652244323.2986
MEM 372.960938 1652244323.3990
MEM 372.960938 1652244323.4993
MEM 326.851562 1652244323.5997
MEM 357.671875 1652244323.7001
MEM 370.960938 1652244323.8005
MEM 372.960938 1652244323.9009
MEM 311.824219 1652244324.0013
MEM 326.851562 1652244324.1033
MEM 357.671875 1652244324.2037
MEM 372.960938 1652244324.3041
MEM 372.960938 1652244324.4045
MEM 326.851562 1652244324.5049
MEM 357.414062 1652244324.6052
MEM 372.742188 1652244324.7070
MEM 372.742188 1652244324.8074
MEM 326.851562 1652244324.9078
MEM 341.894531 1652244325.0082
MEM 372.960938 1652244325.1086
MEM 372.960938 1652244325.2091
MEM 326.851562 1652244325.3095
MEM 342.152344 1652244325.4107
MEM 357.671875 1652244325.5111
MEM 372.960938 1652244325.6117
MEM 311.824219 1652244325.7121
MEM 357.671875 1652244325.8126
MEM 372.960938 1652244325.9130
MEM 372.960938 1652244326.0135
MEM 372.960938 1652244326.1139
MEM 326.851562 1652244326.2165
MEM 357.671875 1652244326.3169
MEM 372.960938 1652244326.4172
MEM 372.960938 1652244326.5176
MEM 326.851562 1652244326.6179
MEM 326.851562 1652244326.7182
MEM 357.414062 1652244326.8186
MEM 372.742188 1652244326.9189
MEM 372.742188 1652244327.0192
MEM 326.851562 1652244327.1196
MEM 357.671875 1652244327.2200
