CMDLINE /usr/bin/python3 scripts/Lasso-SVM-TARA.py
MEM 289.882812 1652295400.2236
MEM 249.562500 1652295400.3240
MEM 260.707031 1652295400.4244
MEM 280.093750 1652295400.5248
MEM 289.882812 1652295400.6252
MEM 289.882812 1652295400.7256
MEM 260.707031 1652295400.8260
MEM 280.351562 1652295400.9265
MEM 290.140625 1652295401.0270
MEM 258.386719 1652295401.1275
MEM 260.707031 1652295401.2279
MEM 289.882812 1652295401.3285
MEM 289.882812 1652295401.4289
MEM 260.707031 1652295401.5293
MEM 272.562500 1652295401.6297
MEM 289.882812 1652295401.7301
MEM 289.882812 1652295401.8305
MEM 260.707031 1652295401.9309
MEM 280.093750 1652295402.0314
MEM 289.882812 1652295402.1318
MEM 289.882812 1652295402.2322
MEM 260.707031 1652295402.3327
MEM 280.093750 1652295402.4332
MEM 289.882812 1652295402.5336
MEM 289.882812 1652295402.6340
MEM 260.707031 1652295402.7345
MEM 280.351562 1652295402.8350
MEM 290.140625 1652295402.9355
MEM 290.140625 1652295403.0359
MEM 260.707031 1652295403.1364
MEM 280.093750 1652295403.2369
MEM 280.093750 1652295403.3373
MEM 289.882812 1652295403.4378
MEM 289.882812 1652295403.5382
MEM 260.707031 1652295403.6387
MEM 280.093750 1652295403.7391
MEM 280.093750 1652295403.8395
MEM 289.882812 1652295403.9400
MEM 260.707031 1652295404.0405
MEM 280.093750 1652295404.1410
MEM 280.093750 1652295404.2414
MEM 289.882812 1652295404.3419
MEM 289.882812 1652295404.4423
MEM 260.707031 1652295404.5428
MEM 280.093750 1652295404.6433
MEM 289.882812 1652295404.7439
MEM 289.882812 1652295404.8443
MEM 260.707031 1652295404.9446
MEM 280.351562 1652295405.0451
MEM 290.140625 1652295405.1456
MEM 260.707031 1652295405.2460
MEM 280.093750 1652295405.3464
MEM 280.093750 1652295405.4468
MEM 249.050781 1652295405.5472
MEM 260.707031 1652295405.6476
MEM 280.093750 1652295405.7480
MEM 289.882812 1652295405.8484
MEM 260.707031 1652295405.9489
MEM 280.093750 1652295406.0495
MEM 289.882812 1652295406.1500
MEM 289.882812 1652295406.2504
MEM 260.707031 1652295406.3508
MEM 280.093750 1652295406.4513
MEM 289.882812 1652295406.5517
MEM 260.707031 1652295406.6521
MEM 280.351562 1652295406.7524
MEM 290.140625 1652295406.8530
MEM 290.140625 1652295406.9534
MEM 260.707031 1652295407.0538
MEM 280.093750 1652295407.1543
MEM 289.882812 1652295407.2547
MEM 260.707031 1652295407.3553
MEM 280.093750 1652295407.4558
MEM 289.882812 1652295407.5561
MEM 289.882812 1652295407.6565
MEM 260.707031 1652295407.7570
MEM 280.093750 1652295407.8574
MEM 289.882812 1652295407.9579
MEM 252.593750 1652295408.0584
MEM 260.707031 1652295408.1588
MEM 280.093750 1652295408.2592
MEM 289.882812 1652295408.3596
MEM 258.386719 1652295408.4600
MEM 260.707031 1652295408.5605
MEM 280.351562 1652295408.6609
MEM 290.140625 1652295408.7613
MEM 260.707031 1652295408.8619
MEM 280.093750 1652295408.9624
MEM 280.093750 1652295409.0629
MEM 289.882812 1652295409.1634
MEM 266.769531 1652295409.2638
MEM 289.882812 1652295409.3642
MEM 289.882812 1652295409.4645
MEM 260.707031 1652295409.5651
MEM 280.093750 1652295409.6654
MEM 289.882812 1652295409.7660
MEM 289.882812 1652295409.8665
MEM 260.707031 1652295409.9670
MEM 280.093750 1652295410.0674
MEM 280.093750 1652295410.1679
MEM 289.882812 1652295410.2683
MEM 260.707031 1652295410.3687
MEM 280.351562 1652295410.4691
MEM 280.351562 1652295410.5696
MEM 290.140625 1652295410.6700
MEM 260.707031 1652295410.7705
MEM 280.093750 1652295410.8711
MEM 289.882812 1652295410.9717
MEM 260.707031 1652295411.0721
MEM 280.093750 1652295411.1725
MEM 280.093750 1652295411.2729
MEM 289.882812 1652295411.3733
MEM 260.707031 1652295411.4737
MEM 280.093750 1652295411.5742
MEM 289.882812 1652295411.6746
MEM 260.707031 1652295411.7750
MEM 280.093750 1652295411.8754
MEM 280.093750 1652295411.9759
MEM 289.882812 1652295412.0763
MEM 260.707031 1652295412.1767
MEM 280.351562 1652295412.2771
MEM 289.367188 1652295412.3776
MEM 259.160156 1652295412.4780
MEM 270.562500 1652295412.5785
MEM 280.093750 1652295412.6790
MEM 289.882812 1652295412.7794
MEM 260.707031 1652295412.8799
MEM 280.093750 1652295412.9803
MEM 280.093750 1652295413.0808
MEM 289.882812 1652295413.1813
MEM 260.707031 1652295413.2818
MEM 280.093750 1652295413.3822
MEM 289.882812 1652295413.4827
MEM 260.707031 1652295413.5832
MEM 280.093750 1652295413.6836
MEM 289.882812 1652295413.7841
MEM 260.707031 1652295413.8845
MEM 280.351562 1652295413.9851
MEM 280.351562 1652295414.0856
MEM 290.140625 1652295414.1860
MEM 266.769531 1652295414.2865
MEM 280.093750 1652295414.3870
MEM 289.882812 1652295414.4875
MEM 250.593750 1652295414.5879
MEM 260.707031 1652295414.6884
MEM 280.093750 1652295414.7888
MEM 289.882812 1652295414.8893
MEM 249.050781 1652295414.9912
MEM 280.093750 1652295415.0917
MEM 289.882812 1652295415.1922
MEM 260.707031 1652295415.2926
MEM 280.093750 1652295415.3931
MEM 289.882812 1652295415.4935
MEM 289.882812 1652295415.5939
MEM 260.707031 1652295415.6943
MEM 280.351562 1652295415.7947
MEM 290.140625 1652295415.8952
MEM 290.140625 1652295415.9956
MEM 280.093750 1652295416.0960
MEM 289.882812 1652295416.1965
MEM 289.882812 1652295416.2969
MEM 260.707031 1652295416.3974
MEM 280.093750 1652295416.4978
MEM 289.882812 1652295416.5982
MEM 260.707031 1652295416.6986
MEM 280.093750 1652295416.7992
MEM 289.882812 1652295416.8997
MEM 260.707031 1652295417.0003
MEM 279.062500 1652295417.1007
MEM 289.882812 1652295417.2011
MEM 260.707031 1652295417.3015
MEM 280.351562 1652295417.4019
MEM 290.140625 1652295417.5023
MEM 290.140625 1652295417.6027
MEM 262.511719 1652295417.7031
MEM 289.882812 1652295417.8034
MEM 289.882812 1652295417.9039
MEM 272.562500 1652295418.0044
MEM 289.882812 1652295418.1049
MEM 249.562500 1652295418.2055
MEM 280.093750 1652295418.3060
MEM 289.882812 1652295418.4064
MEM 249.050781 1652295418.5070
MEM 280.093750 1652295418.6075
MEM 289.882812 1652295418.7080
MEM 249.050781 1652295418.8085
MEM 260.707031 1652295418.9090
MEM 280.351562 1652295419.0094
MEM 290.140625 1652295419.1099
MEM 260.707031 1652295419.2103
MEM 280.093750 1652295419.3107
MEM 289.882812 1652295419.4111
MEM 260.707031 1652295419.5116
MEM 280.093750 1652295419.6120
MEM 289.882812 1652295419.7124
MEM 289.882812 1652295419.8128
MEM 260.707031 1652295419.9133
MEM 280.093750 1652295420.0137
MEM 289.882812 1652295420.1141
MEM 289.882812 1652295420.2145
MEM 260.707031 1652295420.3149
MEM 280.093750 1652295420.4154
MEM 289.882812 1652295420.5158
MEM 289.882812 1652295420.6163
MEM 270.562500 1652295420.7169
MEM 290.140625 1652295420.8174
MEM 290.140625 1652295420.9178
MEM 260.707031 1652295421.0183
MEM 280.093750 1652295421.1187
MEM 289.882812 1652295421.2192
MEM 260.707031 1652295421.3196
MEM 280.093750 1652295421.4200
MEM 289.882812 1652295421.5205
MEM 289.882812 1652295421.6211
MEM 260.707031 1652295421.7215
MEM 280.093750 1652295421.8219
MEM 289.882812 1652295421.9223
MEM 289.882812 1652295422.0228
MEM 260.707031 1652295422.1232
MEM 280.093750 1652295422.2236
MEM 289.882812 1652295422.3241
MEM 289.882812 1652295422.4246
MEM 280.351562 1652295422.5250
MEM 290.140625 1652295422.6255
MEM 290.140625 1652295422.7260
MEM 260.707031 1652295422.8264
MEM 280.093750 1652295422.9269
MEM 289.882812 1652295423.0273
MEM 289.882812 1652295423.1278
MEM 260.707031 1652295423.2282
MEM 280.093750 1652295423.3287
MEM 289.882812 1652295423.4291
MEM 260.707031 1652295423.5295
