CMDLINE /usr/bin/python3 scripts/Lasso-RF-Malaria.py
MEM 370.347656 1652243463.0832
MEM 370.347656 1652243463.1837
MEM 324.238281 1652243463.2842
MEM 355.019531 1652243463.3846
MEM 370.347656 1652243463.4851
MEM 370.347656 1652243463.5856
MEM 370.347656 1652243463.6860
MEM 324.238281 1652243463.7865
MEM 354.761719 1652243463.8874
MEM 370.089844 1652243463.9879
MEM 370.089844 1652243464.0884
MEM 370.089844 1652243464.1888
MEM 324.238281 1652243464.2893
MEM 355.019531 1652243464.3897
MEM 370.347656 1652243464.4902
MEM 370.347656 1652243464.5912
MEM 324.238281 1652243464.6915
MEM 324.238281 1652243464.7918
MEM 355.019531 1652243464.8923
MEM 370.347656 1652243464.9939
MEM 370.347656 1652243465.0942
MEM 324.238281 1652243465.1946
MEM 355.019531 1652243465.2949
MEM 370.347656 1652243465.3954
MEM 370.347656 1652243465.4958
MEM 324.238281 1652243465.5962
MEM 355.019531 1652243465.6966
MEM 370.347656 1652243465.7970
MEM 370.347656 1652243465.8973
MEM 324.238281 1652243465.9977
MEM 354.761719 1652243466.0981
MEM 370.089844 1652243466.1985
MEM 370.089844 1652243466.2989
MEM 324.238281 1652243466.3993
MEM 324.238281 1652243466.4996
MEM 355.019531 1652243466.6000
MEM 370.347656 1652243466.7004
MEM 370.347656 1652243466.8008
MEM 324.238281 1652243466.9013
MEM 355.019531 1652243467.0017
MEM 370.347656 1652243467.1022
MEM 370.347656 1652243467.2025
MEM 324.238281 1652243467.3029
MEM 355.019531 1652243467.4033
MEM 370.347656 1652243467.5037
MEM 370.347656 1652243467.6041
MEM 316.457031 1652243467.7044
MEM 324.238281 1652243467.8048
MEM 355.019531 1652243467.9052
MEM 370.347656 1652243468.0055
MEM 370.347656 1652243468.1059
MEM 324.238281 1652243468.2063
MEM 354.761719 1652243468.3067
MEM 355.277344 1652243468.4076
MEM 370.089844 1652243468.5080
MEM 324.238281 1652243468.6090
MEM 355.019531 1652243468.7094
MEM 370.347656 1652243468.8100
MEM 370.347656 1652243468.9104
MEM 370.347656 1652243469.0109
MEM 324.238281 1652243469.1113
MEM 355.019531 1652243469.2117
MEM 370.347656 1652243469.3121
MEM 370.347656 1652243469.4125
MEM 370.347656 1652243469.5129
MEM 324.238281 1652243469.6134
MEM 355.019531 1652243469.7138
MEM 370.347656 1652243469.8142
MEM 370.347656 1652243469.9146
MEM 324.238281 1652243470.0151
MEM 355.019531 1652243470.1156
MEM 370.347656 1652243470.2161
MEM 370.347656 1652243470.3164
MEM 312.457031 1652243470.4169
MEM 324.238281 1652243470.5173
MEM 354.761719 1652243470.6177
MEM 370.089844 1652243470.7181
MEM 370.089844 1652243470.8186
MEM 324.238281 1652243470.9190
MEM 354.761719 1652243471.0194
MEM 370.347656 1652243471.1199
MEM 370.347656 1652243471.2203
MEM 324.238281 1652243471.3207
MEM 355.019531 1652243471.4212
MEM 370.347656 1652243471.5215
MEM 370.347656 1652243471.6219
MEM 323.464844 1652243471.7223
MEM 336.496094 1652243471.8235
MEM 370.347656 1652243471.9242
MEM 370.347656 1652243472.0246
MEM 314.457031 1652243472.1250
MEM 324.238281 1652243472.2254
MEM 355.019531 1652243472.3258
MEM 370.347656 1652243472.4262
MEM 370.347656 1652243472.5266
MEM 324.238281 1652243472.6270
MEM 354.761719 1652243472.7273
MEM 370.089844 1652243472.8277
MEM 370.089844 1652243472.9281
