CMDLINE /usr/bin/python3 scripts/tSNE-RF-TARA.py
MEM 253.378906 1652255544.8983
MEM 253.378906 1652255544.9985
MEM 253.378906 1652255545.0989
MEM 253.378906 1652255545.2004
MEM 253.378906 1652255545.3007
MEM 253.378906 1652255545.4010
MEM 253.378906 1652255545.5013
MEM 253.378906 1652255545.6015
MEM 253.378906 1652255545.7018
MEM 253.378906 1652255545.8022
MEM 253.378906 1652255545.9026
MEM 253.378906 1652255546.0029
MEM 253.378906 1652255546.1051
MEM 253.378906 1652255546.2053
MEM 253.378906 1652255546.3057
MEM 253.378906 1652255546.4059
MEM 253.378906 1652255546.5063
MEM 253.378906 1652255546.6087
MEM 253.378906 1652255546.7090
MEM 253.378906 1652255546.8092
MEM 253.378906 1652255546.9095
MEM 253.378906 1652255547.0098
MEM 253.378906 1652255547.1101
MEM 253.378906 1652255547.2105
MEM 253.378906 1652255547.3109
MEM 253.378906 1652255547.4111
MEM 253.378906 1652255547.5135
MEM 253.378906 1652255547.6138
MEM 253.378906 1652255547.7140
MEM 253.378906 1652255547.8144
MEM 253.378906 1652255547.9148
MEM 253.378906 1652255548.0161
MEM 253.378906 1652255548.1181
MEM 253.378906 1652255548.2184
MEM 253.378906 1652255548.3187
MEM 253.378906 1652255548.4190
MEM 253.378906 1652255548.5193
MEM 253.378906 1652255548.6198
MEM 253.378906 1652255548.7201
MEM 253.378906 1652255548.8203
MEM 253.378906 1652255548.9206
MEM 253.378906 1652255549.0209
MEM 253.378906 1652255549.1212
MEM 253.378906 1652255549.2215
MEM 253.378906 1652255549.3219
MEM 253.378906 1652255549.4222
MEM 253.378906 1652255549.5224
MEM 253.378906 1652255549.6227
MEM 253.378906 1652255549.7230
MEM 253.378906 1652255549.8238
MEM 253.378906 1652255549.9241
MEM 253.378906 1652255550.0243
MEM 253.378906 1652255550.1245
MEM 253.378906 1652255550.2248
MEM 253.378906 1652255550.3250
MEM 253.378906 1652255550.4253
MEM 253.378906 1652255550.5255
MEM 253.378906 1652255550.6258
MEM 253.378906 1652255550.7261
MEM 253.378906 1652255550.8264
MEM 253.378906 1652255550.9267
MEM 253.378906 1652255551.0294
MEM 253.378906 1652255551.1297
MEM 253.378906 1652255551.2300
MEM 253.378906 1652255551.3303
MEM 253.378906 1652255551.4306
MEM 253.378906 1652255551.5309
MEM 253.378906 1652255551.6311
MEM 253.378906 1652255551.7314
MEM 253.378906 1652255551.8316
MEM 253.378906 1652255551.9319
MEM 253.378906 1652255552.0322
MEM 253.378906 1652255552.1325
MEM 253.378906 1652255552.2327
MEM 253.378906 1652255552.3330
MEM 253.378906 1652255552.4333
MEM 253.378906 1652255552.5344
MEM 253.378906 1652255552.6347
MEM 253.378906 1652255552.7368
MEM 253.378906 1652255552.8373
MEM 253.378906 1652255552.9383
MEM 253.378906 1652255553.0386
MEM 253.378906 1652255553.1389
MEM 253.378906 1652255553.2391
MEM 253.378906 1652255553.3393
MEM 253.378906 1652255553.4396
MEM 253.378906 1652255553.5399
MEM 253.378906 1652255553.6401
MEM 253.378906 1652255553.7404
MEM 253.378906 1652255553.8407
MEM 253.378906 1652255553.9410
MEM 253.378906 1652255554.0413
MEM 253.378906 1652255554.1417
MEM 253.378906 1652255554.2420
MEM 253.378906 1652255554.3424
MEM 253.378906 1652255554.4428
MEM 253.378906 1652255554.5431
MEM 253.378906 1652255554.6434
MEM 253.378906 1652255554.7437
MEM 253.378906 1652255554.8441
MEM 253.378906 1652255554.9444
MEM 253.378906 1652255555.0447
MEM 253.378906 1652255555.1451
MEM 253.378906 1652255555.2454
MEM 253.378906 1652255555.3458
MEM 253.378906 1652255555.4482
MEM 253.378906 1652255555.5485
MEM 253.378906 1652255555.6489
MEM 253.378906 1652255555.7493
MEM 253.378906 1652255555.8496
MEM 253.378906 1652255555.9500
