CMDLINE /usr/bin/python3 scripts/tSNE-SVM-TARA.py
MEM 276.945312 1652297094.9363
MEM 276.945312 1652297095.0367
MEM 276.945312 1652297095.1371
MEM 276.945312 1652297095.2377
MEM 276.945312 1652297095.3382
MEM 276.945312 1652297095.4386
MEM 276.945312 1652297095.5389
MEM 276.945312 1652297095.6393
MEM 276.945312 1652297095.7396
MEM 276.945312 1652297095.8400
MEM 276.945312 1652297095.9403
MEM 276.945312 1652297096.0408
MEM 276.945312 1652297096.1412
MEM 276.945312 1652297096.2416
MEM 276.945312 1652297096.3420
MEM 276.945312 1652297096.4424
MEM 276.945312 1652297096.5427
MEM 276.945312 1652297096.6431
MEM 276.945312 1652297096.7436
MEM 276.945312 1652297096.8440
MEM 276.945312 1652297096.9444
MEM 276.945312 1652297097.0448
MEM 276.945312 1652297097.1452
MEM 276.945312 1652297097.2456
MEM 276.945312 1652297097.3460
MEM 276.945312 1652297097.4464
MEM 276.945312 1652297097.5471
MEM 276.945312 1652297097.6474
MEM 276.945312 1652297097.7478
MEM 276.945312 1652297097.8481
MEM 276.945312 1652297097.9485
MEM 276.945312 1652297098.0488
MEM 276.945312 1652297098.1492
MEM 276.945312 1652297098.2495
MEM 276.945312 1652297098.3499
MEM 276.945312 1652297098.4503
MEM 276.945312 1652297098.5507
MEM 276.945312 1652297098.6511
MEM 276.945312 1652297098.7515
MEM 276.945312 1652297098.8519
MEM 276.945312 1652297098.9523
MEM 276.945312 1652297099.0527
MEM 276.945312 1652297099.1531
MEM 276.945312 1652297099.2535
MEM 276.945312 1652297099.3539
MEM 276.945312 1652297099.4543
MEM 276.945312 1652297099.5547
MEM 276.945312 1652297099.6551
MEM 276.945312 1652297099.7556
MEM 276.945312 1652297099.8560
MEM 276.945312 1652297099.9564
MEM 276.945312 1652297100.0568
MEM 276.945312 1652297100.1572
MEM 276.945312 1652297100.2576
MEM 276.945312 1652297100.3580
MEM 276.945312 1652297100.4584
MEM 276.945312 1652297100.5591
MEM 276.945312 1652297100.6594
MEM 276.945312 1652297100.7598
MEM 276.945312 1652297100.8602
MEM 276.945312 1652297100.9605
MEM 276.945312 1652297101.0609
MEM 276.945312 1652297101.1612
MEM 276.945312 1652297101.2616
MEM 276.945312 1652297101.3620
MEM 276.945312 1652297101.4624
MEM 276.945312 1652297101.5628
MEM 276.945312 1652297101.6632
MEM 276.945312 1652297101.7636
MEM 276.945312 1652297101.8640
MEM 276.945312 1652297101.9645
MEM 276.945312 1652297102.0649
MEM 276.945312 1652297102.1653
MEM 276.945312 1652297102.2657
MEM 276.945312 1652297102.3661
MEM 276.945312 1652297102.4665
MEM 276.945312 1652297102.5670
MEM 276.945312 1652297102.6674
MEM 276.945312 1652297102.7678
MEM 276.945312 1652297102.8683
MEM 276.945312 1652297102.9686
MEM 276.945312 1652297103.0691
MEM 276.945312 1652297103.1695
MEM 276.945312 1652297103.2699
MEM 276.945312 1652297103.3703
MEM 276.945312 1652297103.4707
MEM 276.945312 1652297103.5712
MEM 276.945312 1652297103.6716
MEM 276.945312 1652297103.7721
MEM 276.945312 1652297103.8725
MEM 276.945312 1652297103.9729
MEM 276.945312 1652297104.0733
MEM 276.945312 1652297104.1737
MEM 276.945312 1652297104.2741
MEM 276.945312 1652297104.3744
MEM 276.945312 1652297104.4748
MEM 276.945312 1652297104.5752
MEM 276.945312 1652297104.6759
MEM 276.945312 1652297104.7763
MEM 276.945312 1652297104.8767
MEM 276.945312 1652297104.9771
MEM 276.945312 1652297105.0774
MEM 276.945312 1652297105.1778
MEM 276.945312 1652297105.2782
MEM 276.945312 1652297105.3786
MEM 276.945312 1652297105.4791
MEM 276.945312 1652297105.5795
MEM 276.945312 1652297105.6799
MEM 276.945312 1652297105.7805
MEM 276.945312 1652297105.8809
MEM 276.945312 1652297105.9813
MEM 276.945312 1652297106.0816
MEM 276.945312 1652297106.1820
MEM 276.945312 1652297106.2824
MEM 276.945312 1652297106.3828
MEM 276.945312 1652297106.4832
MEM 276.945312 1652297106.5836
MEM 276.945312 1652297106.6842
MEM 276.945312 1652297106.7846
MEM 276.945312 1652297106.8850
MEM 276.945312 1652297106.9854
MEM 276.945312 1652297107.0857
MEM 276.945312 1652297107.1861
MEM 276.945312 1652297107.2864
MEM 276.945312 1652297107.3868
MEM 276.945312 1652297107.4872
MEM 276.945312 1652297107.5876
MEM 276.945312 1652297107.6882
MEM 276.945312 1652297107.7886
MEM 276.945312 1652297107.8889
MEM 276.945312 1652297107.9892
MEM 276.945312 1652297108.0896
MEM 276.945312 1652297108.1900
MEM 276.945312 1652297108.2906
MEM 276.945312 1652297108.3910
MEM 276.945312 1652297108.4914
MEM 276.945312 1652297108.5918
MEM 276.945312 1652297108.6922
MEM 276.945312 1652297108.7926
MEM 276.945312 1652297108.8929
MEM 276.945312 1652297108.9935
MEM 276.945312 1652297109.0938
MEM 276.945312 1652297109.1942
MEM 276.945312 1652297109.2945
MEM 276.945312 1652297109.3949
MEM 276.945312 1652297109.4953
MEM 276.945312 1652297109.5957
MEM 276.945312 1652297109.6961
MEM 276.945312 1652297109.7966
MEM 276.945312 1652297109.8969
MEM 276.945312 1652297109.9974
MEM 276.945312 1652297110.0978
MEM 276.945312 1652297110.1982
MEM 276.945312 1652297110.2985
MEM 276.945312 1652297110.3989
MEM 276.945312 1652297110.4993
MEM 276.945312 1652297110.5997
MEM 276.945312 1652297110.7001
MEM 276.945312 1652297110.8005
MEM 276.945312 1652297110.9009
MEM 276.945312 1652297111.0013
MEM 276.945312 1652297111.1018
MEM 276.945312 1652297111.2022
