CMDLINE /usr/bin/python3 scripts/AE-RF-Rhizo.py
MEM 566.230469 1652240715.2979
MEM 570.093750 1652240715.3983
MEM 570.093750 1652240715.4987
MEM 570.234375 1652240715.5992
MEM 570.234375 1652240715.6995
MEM 574.355469 1652240715.7999
MEM 574.355469 1652240715.9003
MEM 624.230469 1652240716.0008
MEM 657.542969 1652240716.1012
MEM 665.730469 1652240716.2017
MEM 684.800781 1652240716.3021
MEM 690.960938 1652240716.4025
MEM 690.960938 1652240716.5029
MEM 690.960938 1652240716.6032
MEM 690.960938 1652240716.7036
MEM 690.960938 1652240716.8041
MEM 696.414062 1652240716.9045
MEM 696.652344 1652240717.0049
MEM 696.902344 1652240717.1053
MEM 697.152344 1652240717.2057
MEM 697.152344 1652240717.3061
MEM 700.507812 1652240717.4065
MEM 701.539062 1652240717.5069
MEM 701.539062 1652240717.6074
MEM 701.539062 1652240717.7079
MEM 742.617188 1652240717.8083
MEM 742.617188 1652240717.9085
MEM 742.867188 1652240718.0088
MEM 743.121094 1652240718.1091
MEM 747.246094 1652240718.2094
MEM 747.246094 1652240718.3097
MEM 747.246094 1652240718.4099
MEM 747.246094 1652240718.5102
MEM 749.308594 1652240718.6105
MEM 749.308594 1652240718.7108
MEM 763.957031 1652240718.8112
MEM 767.976562 1652240718.9116
MEM 777.394531 1652240719.0121
MEM 788.363281 1652240719.1125
MEM 793.207031 1652240719.2129
MEM 793.207031 1652240719.3134
MEM 793.207031 1652240719.4138
MEM 793.207031 1652240719.5142
MEM 793.207031 1652240719.6147
MEM 793.207031 1652240719.7152
MEM 793.207031 1652240719.8156
MEM 793.207031 1652240719.9161
MEM 793.207031 1652240720.0165
MEM 793.207031 1652240720.1169
MEM 793.207031 1652240720.2173
MEM 793.207031 1652240720.3178
MEM 793.273438 1652240720.4182
MEM 793.273438 1652240720.5186
MEM 793.273438 1652240720.6191
MEM 794.300781 1652240720.7195
MEM 794.300781 1652240720.8199
MEM 797.550781 1652240720.9203
MEM 797.808594 1652240721.0207
MEM 797.871094 1652240721.1211
MEM 798.371094 1652240721.2215
MEM 798.371094 1652240721.3219
MEM 801.468750 1652240721.4224
MEM 801.707031 1652240721.5228
MEM 801.707031 1652240721.6232
MEM 801.707031 1652240721.7236
MEM 801.707031 1652240721.8241
MEM 832.328125 1652240721.9245
MEM 832.328125 1652240722.0249
MEM 832.832031 1652240722.1253
MEM 832.832031 1652240722.2257
MEM 834.894531 1652240722.3260
MEM 834.894531 1652240722.4264
MEM 834.894531 1652240722.5268
MEM 834.894531 1652240722.6272
MEM 837.214844 1652240722.7277
MEM 837.214844 1652240722.8281
MEM 845.386719 1652240722.9285
MEM 849.398438 1652240723.0290
MEM 855.367188 1652240723.1294
MEM 863.742188 1652240723.2298
MEM 863.742188 1652240723.3302
MEM 863.742188 1652240723.4307
MEM 863.742188 1652240723.5311
MEM 863.742188 1652240723.6315
MEM 863.722656 1652240723.7319
MEM 863.722656 1652240723.8323
MEM 863.722656 1652240723.9326
MEM 863.835938 1652240724.0330
MEM 864.250000 1652240724.1334
MEM 871.207031 1652240724.2338
MEM 871.464844 1652240724.3342
MEM 871.464844 1652240724.4346
MEM 871.464844 1652240724.5351
MEM 887.410156 1652240724.6374
MEM 917.820312 1652240724.7378
MEM 917.820312 1652240724.8382
MEM 918.261719 1652240724.9386
MEM 918.261719 1652240725.0390
MEM 920.324219 1652240725.1393
MEM 920.324219 1652240725.2396
MEM 920.324219 1652240725.3399
MEM 920.324219 1652240725.4402
MEM 924.449219 1652240725.5405
MEM 929.640625 1652240725.6409
MEM 936.832031 1652240725.7413
MEM 941.058594 1652240725.8417
MEM 948.796875 1652240725.9421
MEM 949.781250 1652240726.0425
MEM 949.781250 1652240726.1428
MEM 949.781250 1652240726.2432
MEM 950.035156 1652240726.3436
MEM 951.984375 1652240726.4440
MEM 951.984375 1652240726.5444
MEM 952.027344 1652240726.6448
MEM 952.777344 1652240726.7452
MEM 952.777344 1652240726.8456
MEM 960.250000 1652240726.9460
MEM 960.250000 1652240727.0464
MEM 960.250000 1652240727.1468
MEM 960.250000 1652240727.2472
MEM 989.613281 1652240727.3476
MEM 989.613281 1652240727.4480
MEM 989.871094 1652240727.5484
MEM 989.871094 1652240727.6489
MEM 989.871094 1652240727.7493
MEM 989.871094 1652240727.8497
MEM 989.871094 1652240727.9501
MEM 993.996094 1652240728.0506
MEM 993.996094 1652240728.1510
MEM 995.664062 1652240728.2515
MEM 1000.453125 1652240728.3519
MEM 1006.421875 1652240728.4523
MEM 1011.535156 1652240728.5527
MEM 1012.152344 1652240728.6531
MEM 1012.152344 1652240728.7535
