CMDLINE /usr/bin/python3 scripts/tSNE-RF-Rhizo.py
MEM 203.574219 1652242112.8310
MEM 203.574219 1652242112.9314
MEM 203.574219 1652242113.0317
MEM 203.574219 1652242113.1320
MEM 203.574219 1652242113.2335
MEM 203.574219 1652242113.3356
MEM 203.574219 1652242113.4359
MEM 203.574219 1652242113.5362
MEM 203.574219 1652242113.6365
MEM 203.574219 1652242113.7368
MEM 203.574219 1652242113.8371
MEM 203.574219 1652242113.9374
MEM 203.574219 1652242114.0377
MEM 203.574219 1652242114.1381
MEM 203.574219 1652242114.2385
MEM 203.574219 1652242114.3391
MEM 203.574219 1652242114.4394
MEM 203.574219 1652242114.5419
MEM 203.574219 1652242114.6421
MEM 203.574219 1652242114.7424
MEM 203.574219 1652242114.8427
MEM 203.574219 1652242114.9431
MEM 203.574219 1652242115.0434
MEM 203.574219 1652242115.1437
MEM 203.574219 1652242115.2474
MEM 203.574219 1652242115.3476
MEM 203.574219 1652242115.4479
MEM 203.574219 1652242115.5482
MEM 203.574219 1652242115.6486
MEM 203.574219 1652242115.7489
MEM 203.574219 1652242115.8492
MEM 203.574219 1652242115.9508
MEM 203.574219 1652242116.0510
MEM 203.574219 1652242116.1513
MEM 203.574219 1652242116.2516
MEM 203.574219 1652242116.3519
MEM 203.574219 1652242116.4523
MEM 203.574219 1652242116.5526
MEM 203.574219 1652242116.6529
MEM 203.574219 1652242116.7532
MEM 203.574219 1652242116.8534
MEM 203.574219 1652242116.9537
MEM 203.574219 1652242117.0541
MEM 203.574219 1652242117.1544
MEM 203.574219 1652242117.2547
MEM 203.574219 1652242117.3550
MEM 203.574219 1652242117.4553
MEM 203.574219 1652242117.5556
MEM 203.574219 1652242117.6559
MEM 203.574219 1652242117.7561
MEM 203.574219 1652242117.8573
MEM 203.574219 1652242117.9579
MEM 203.574219 1652242118.0583
MEM 203.574219 1652242118.1585
MEM 203.574219 1652242118.2588
MEM 203.574219 1652242118.3591
MEM 203.574219 1652242118.4594
MEM 203.574219 1652242118.5598
MEM 203.574219 1652242118.6601
MEM 203.574219 1652242118.7605
MEM 203.574219 1652242118.8608
MEM 203.574219 1652242118.9621
MEM 203.574219 1652242119.0624
MEM 203.574219 1652242119.1627
MEM 203.574219 1652242119.2630
MEM 203.574219 1652242119.3634
MEM 203.574219 1652242119.4638
MEM 203.574219 1652242119.5663
MEM 203.574219 1652242119.6666
MEM 203.574219 1652242119.7669
MEM 203.574219 1652242119.8672
MEM 203.574219 1652242119.9675
MEM 203.574219 1652242120.0678
MEM 203.574219 1652242120.1681
MEM 203.574219 1652242120.2685
MEM 203.574219 1652242120.3689
MEM 203.574219 1652242120.4692
MEM 203.574219 1652242120.5695
MEM 203.574219 1652242120.6697
MEM 203.574219 1652242120.7700
MEM 203.574219 1652242120.8703
MEM 203.574219 1652242120.9705
MEM 203.574219 1652242121.0708
MEM 203.574219 1652242121.1711
MEM 203.574219 1652242121.2713
MEM 203.574219 1652242121.3716
MEM 203.574219 1652242121.4718
MEM 203.574219 1652242121.5721
MEM 203.574219 1652242121.6724
MEM 203.574219 1652242121.7726
MEM 203.574219 1652242121.8729
MEM 203.574219 1652242121.9731
MEM 203.574219 1652242122.0734
MEM 203.574219 1652242122.1737
