CMDLINE /usr/bin/python3 scripts/Lasso-RF-Rhizo.py
MEM 194.437500 1652241586.8109
MEM 194.437500 1652241586.9111
MEM 201.656250 1652241587.0113
MEM 201.656250 1652241587.1116
MEM 205.265625 1652241587.2119
MEM 205.265625 1652241587.3122
MEM 205.265625 1652241587.4125
MEM 194.437500 1652241587.5128
MEM 194.437500 1652241587.6130
MEM 201.656250 1652241587.7160
MEM 205.265625 1652241587.8164
MEM 205.265625 1652241587.9168
MEM 205.265625 1652241588.0172
MEM 205.265625 1652241588.1176
MEM 194.437500 1652241588.2179
MEM 194.437500 1652241588.3182
MEM 195.726562 1652241588.4185
MEM 201.656250 1652241588.5189
MEM 205.265625 1652241588.6192
MEM 205.265625 1652241588.7195
MEM 205.265625 1652241588.8198
MEM 205.265625 1652241588.9202
MEM 194.437500 1652241589.0205
MEM 194.437500 1652241589.1210
MEM 201.914062 1652241589.2213
MEM 205.523438 1652241589.3217
MEM 205.523438 1652241589.4221
MEM 205.523438 1652241589.5224
MEM 194.437500 1652241589.6228
MEM 194.437500 1652241589.7231
MEM 201.914062 1652241589.8235
MEM 205.523438 1652241589.9238
MEM 205.523438 1652241590.0243
MEM 205.523438 1652241590.1246
MEM 194.437500 1652241590.2250
MEM 194.437500 1652241590.3253
MEM 201.656250 1652241590.4258
MEM 201.656250 1652241590.5261
MEM 201.656250 1652241590.6265
MEM 205.265625 1652241590.7268
MEM 205.265625 1652241590.8271
MEM 205.265625 1652241590.9275
MEM 194.437500 1652241591.0279
MEM 194.437500 1652241591.1282
MEM 201.656250 1652241591.2285
MEM 201.656250 1652241591.3289
MEM 205.265625 1652241591.4292
MEM 205.265625 1652241591.5295
MEM 205.265625 1652241591.6298
MEM 193.148438 1652241591.7301
MEM 194.437500 1652241591.8305
MEM 194.437500 1652241591.9308
MEM 194.437500 1652241592.0311
MEM 201.656250 1652241592.1315
MEM 201.656250 1652241592.2318
MEM 205.265625 1652241592.3322
MEM 205.265625 1652241592.4325
MEM 205.265625 1652241592.5328
MEM 194.437500 1652241592.6334
MEM 194.437500 1652241592.7338
MEM 194.437500 1652241592.8342
MEM 201.914062 1652241592.9345
MEM 201.914062 1652241593.0349
