CMDLINE /usr/bin/python3 scripts/Lasso-SVM-Rhizo.py
MEM 199.261719 1652241561.9848
MEM 199.261719 1652241562.0851
MEM 199.261719 1652241562.1855
MEM 199.261719 1652241562.2859
MEM 199.261719 1652241562.3862
MEM 188.175781 1652241562.4866
MEM 188.175781 1652241562.5870
MEM 196.425781 1652241562.6873
MEM 199.261719 1652241562.7879
MEM 199.261719 1652241562.8895
MEM 199.261719 1652241562.9899
MEM 188.175781 1652241563.0904
MEM 188.175781 1652241563.1909
MEM 195.652344 1652241563.2912
MEM 196.425781 1652241563.3916
MEM 199.261719 1652241563.4919
MEM 199.261719 1652241563.5922
MEM 199.261719 1652241563.6926
MEM 188.175781 1652241563.7929
MEM 188.175781 1652241563.8946
MEM 188.175781 1652241563.9950
MEM 192.300781 1652241564.0953
MEM 196.683594 1652241564.1958
MEM 199.777344 1652241564.2963
MEM 199.777344 1652241564.3967
MEM 199.777344 1652241564.4970
MEM 187.144531 1652241564.5974
MEM 188.175781 1652241564.7072
MEM 188.175781 1652241564.8077
MEM 196.683594 1652241564.9081
MEM 196.683594 1652241565.0084
MEM 199.777344 1652241565.1088
MEM 199.777344 1652241565.2091
MEM 199.777344 1652241565.3094
MEM 188.175781 1652241565.4098
MEM 188.175781 1652241565.5102
MEM 196.425781 1652241565.6106
MEM 196.425781 1652241565.7111
MEM 199.261719 1652241565.8115
MEM 199.261719 1652241565.9118
MEM 197.253906 1652241566.0122
MEM 188.175781 1652241566.1125
MEM 188.175781 1652241566.2129
MEM 196.425781 1652241566.3133
MEM 196.425781 1652241566.4136
MEM 199.261719 1652241566.5140
MEM 199.261719 1652241566.6144
MEM 199.261719 1652241566.7148
MEM 183.796875 1652241566.8151
MEM 188.175781 1652241566.9155
MEM 188.175781 1652241567.0158
MEM 188.175781 1652241567.1185
MEM 196.425781 1652241567.2189
MEM 196.425781 1652241567.3191
MEM 199.261719 1652241567.4194
MEM 199.261719 1652241567.5198
MEM 188.175781 1652241567.6202
MEM 188.175781 1652241567.7206
MEM 196.683594 1652241567.8209
MEM 199.777344 1652241567.9212
MEM 199.777344 1652241568.0216
MEM 199.777344 1652241568.1220
MEM 199.777344 1652241568.2223
MEM 188.175781 1652241568.3228
MEM 188.175781 1652241568.4231
MEM 196.683594 1652241568.5235
MEM 196.683594 1652241568.6239
MEM 199.777344 1652241568.7243
MEM 199.777344 1652241568.8246
MEM 199.777344 1652241568.9251
MEM 199.777344 1652241569.0254
MEM 188.175781 1652241569.1258
MEM 188.175781 1652241569.2262
MEM 196.425781 1652241569.3265
MEM 196.425781 1652241569.4268
MEM 196.425781 1652241569.5271
MEM 199.261719 1652241569.6274
MEM 199.261719 1652241569.7276
MEM 199.261719 1652241569.8279
MEM 188.175781 1652241569.9282
MEM 188.175781 1652241570.0285
MEM 188.175781 1652241570.1288
MEM 196.425781 1652241570.2291
MEM 199.261719 1652241570.3294
MEM 199.261719 1652241570.4297
MEM 199.261719 1652241570.5300
MEM 188.175781 1652241570.6303
MEM 188.175781 1652241570.7306
MEM 188.175781 1652241570.8308
MEM 196.425781 1652241570.9311
MEM 196.425781 1652241571.0314
MEM 199.261719 1652241571.1317
MEM 199.261719 1652241571.2320
MEM 199.261719 1652241571.3324
MEM 188.175781 1652241571.4327
MEM 188.175781 1652241571.5330
MEM 188.175781 1652241571.6337
MEM 196.683594 1652241571.7340
MEM 196.683594 1652241571.8343
MEM 199.777344 1652241571.9346
MEM 199.777344 1652241572.0350
MEM 199.777344 1652241572.1353
MEM 188.175781 1652241572.2357
MEM 188.175781 1652241572.3360
MEM 196.683594 1652241572.4364
MEM 196.683594 1652241572.5367
MEM 199.777344 1652241572.6372
MEM 199.777344 1652241572.7376
MEM 199.777344 1652241572.8380
MEM 188.175781 1652241572.9383
MEM 188.175781 1652241573.0387
MEM 196.425781 1652241573.1391
MEM 196.425781 1652241573.2420
MEM 199.261719 1652241573.3424
MEM 199.261719 1652241573.4428
MEM 199.261719 1652241573.5432
MEM 183.796875 1652241573.6435
MEM 188.175781 1652241573.7439
MEM 195.652344 1652241573.8443
MEM 196.425781 1652241573.9447
MEM 196.425781 1652241574.0451
MEM 199.261719 1652241574.1513
MEM 199.261719 1652241574.2527
MEM 199.261719 1652241574.3531
MEM 188.175781 1652241574.4535
MEM 188.175781 1652241574.5540
MEM 188.175781 1652241574.6542
MEM 196.425781 1652241574.7546
MEM 196.425781 1652241574.8550
MEM 199.261719 1652241574.9554
MEM 199.261719 1652241575.0558
MEM 199.261719 1652241575.1562
MEM 184.308594 1652241575.2566
MEM 188.175781 1652241575.3570
MEM 188.175781 1652241575.4574
MEM 196.683594 1652241575.5579
MEM 196.683594 1652241575.6583
MEM 199.777344 1652241575.7588
MEM 199.777344 1652241575.8631
MEM 199.777344 1652241575.9635
MEM 199.777344 1652241576.0638
MEM 188.175781 1652241576.1642
MEM 188.175781 1652241576.2646
MEM 188.175781 1652241576.3651
MEM 196.683594 1652241576.4655
MEM 199.777344 1652241576.5660
MEM 199.777344 1652241576.6663
MEM 199.777344 1652241576.7666
MEM 184.824219 1652241576.8670
MEM 188.175781 1652241576.9673
MEM 196.425781 1652241577.0677
MEM 196.425781 1652241577.1681
MEM 196.425781 1652241577.2685
MEM 199.261719 1652241577.3688
MEM 199.261719 1652241577.4692
MEM 199.261719 1652241577.5696
MEM 188.175781 1652241577.6712
MEM 188.175781 1652241577.7715
MEM 196.425781 1652241577.8719
MEM 196.425781 1652241577.9723
MEM 196.425781 1652241578.0726
MEM 199.261719 1652241578.1730
MEM 199.261719 1652241578.2733
MEM 199.261719 1652241578.3736
MEM 188.175781 1652241578.4740
MEM 188.175781 1652241578.5744
MEM 196.425781 1652241578.6748
MEM 196.425781 1652241578.7752
MEM 196.425781 1652241578.8755
MEM 199.261719 1652241578.9760
MEM 199.261719 1652241579.0763
MEM 199.261719 1652241579.1767
MEM 199.261719 1652241579.2770
MEM 188.175781 1652241579.3773
MEM 188.175781 1652241579.4777
MEM 196.683594 1652241579.5781
MEM 196.683594 1652241579.6785
MEM 199.777344 1652241579.7790
MEM 199.777344 1652241579.8793
MEM 199.777344 1652241579.9797
MEM 199.777344 1652241580.0800
MEM 188.175781 1652241580.1804
MEM 188.175781 1652241580.2808
MEM 196.683594 1652241580.3812
MEM 196.683594 1652241580.4816
MEM 199.777344 1652241580.5819
MEM 199.777344 1652241580.6823
MEM 199.777344 1652241580.7828
MEM 188.175781 1652241580.8832
MEM 188.175781 1652241580.9836
MEM 196.425781 1652241581.0839
MEM 199.261719 1652241581.1844
MEM 199.261719 1652241581.2847
MEM 199.261719 1652241581.3850
MEM 185.855469 1652241581.4854
MEM 188.175781 1652241581.5859
MEM 188.175781 1652241581.6863
MEM 196.425781 1652241581.7867
MEM 198.230469 1652241581.8872
MEM 199.261719 1652241581.9875
MEM 199.261719 1652241582.0879
MEM 199.261719 1652241582.1884
MEM 188.175781 1652241582.2888
MEM 188.175781 1652241582.3892
MEM 196.425781 1652241582.4896
MEM 196.425781 1652241582.5900
MEM 199.261719 1652241582.6904
MEM 199.261719 1652241582.7908
MEM 199.261719 1652241582.8911
MEM 183.796875 1652241582.9915
MEM 188.175781 1652241583.0919
MEM 196.683594 1652241583.1923
MEM 196.683594 1652241583.2928
MEM 196.683594 1652241583.3931
MEM 199.777344 1652241583.4937
MEM 199.777344 1652241583.5941
MEM 199.777344 1652241583.6946
MEM 188.175781 1652241583.7949
MEM 188.175781 1652241583.8952
MEM 196.683594 1652241583.9956
MEM 196.683594 1652241584.0960
MEM 199.777344 1652241584.1964
MEM 199.777344 1652241584.2968
MEM 199.777344 1652241584.3972
MEM 199.777344 1652241584.4977
MEM 188.175781 1652241584.5981
MEM 188.175781 1652241584.6984
MEM 196.425781 1652241584.8017
MEM 196.425781 1652241584.9020
MEM 199.261719 1652241585.0023
MEM 199.261719 1652241585.1026
MEM 199.261719 1652241585.2030
MEM 199.261719 1652241585.3033
MEM 188.175781 1652241585.4037
MEM 188.175781 1652241585.5039
MEM 196.425781 1652241585.6042
MEM 196.425781 1652241585.7045
MEM 199.261719 1652241585.8048
MEM 199.261719 1652241585.9051
MEM 199.261719 1652241586.0054
MEM 199.261719 1652241586.1057
MEM 188.175781 1652241586.2061
MEM 192.558594 1652241586.3064
MEM 196.425781 1652241586.4068
MEM 199.261719 1652241586.5071
MEM 199.261719 1652241586.6074
MEM 199.261719 1652241586.7077
MEM 199.261719 1652241586.8081
MEM 188.175781 1652241586.9084
MEM 188.175781 1652241587.0087
MEM 196.683594 1652241587.1089
MEM 196.683594 1652241587.2092
MEM 196.683594 1652241587.3095
MEM 199.777344 1652241587.4098
MEM 199.777344 1652241587.5101
MEM 199.777344 1652241587.6104
MEM 188.175781 1652241587.7108
MEM 188.175781 1652241587.8111
MEM 196.683594 1652241587.9115
MEM 199.777344 1652241588.0119
MEM 199.777344 1652241588.1123
MEM 199.777344 1652241588.2127
MEM 199.777344 1652241588.3130
MEM 188.175781 1652241588.4134
MEM 188.175781 1652241588.5138
MEM 196.425781 1652241588.6143
MEM 196.425781 1652241588.7146
MEM 199.261719 1652241588.8150
MEM 199.261719 1652241588.9153
MEM 199.261719 1652241589.0157
MEM 183.796875 1652241589.1161
MEM 188.175781 1652241589.2164
MEM 188.175781 1652241589.3168
MEM 196.425781 1652241589.4193
MEM 196.425781 1652241589.5197
MEM 199.261719 1652241589.6201
MEM 199.261719 1652241589.7204
MEM 199.261719 1652241589.8207
MEM 188.175781 1652241589.9211
MEM 188.175781 1652241590.0216
MEM 188.175781 1652241590.1220
MEM 196.425781 1652241590.2224
MEM 196.425781 1652241590.3227
MEM 199.261719 1652241590.4233
MEM 199.261719 1652241590.5237
MEM 199.261719 1652241590.6241
MEM 188.175781 1652241590.7245
MEM 188.175781 1652241590.8248
MEM 196.683594 1652241590.9252
MEM 196.683594 1652241591.0256
MEM 196.683594 1652241591.1259
MEM 199.777344 1652241591.2264
MEM 199.777344 1652241591.3267
MEM 199.777344 1652241591.4271
MEM 199.777344 1652241591.5275
MEM 188.175781 1652241591.6279
MEM 188.175781 1652241591.7282
MEM 196.683594 1652241591.8285
MEM 199.777344 1652241591.9290
MEM 199.777344 1652241592.0293
MEM 199.777344 1652241592.1297
MEM 188.175781 1652241592.2301
MEM 188.175781 1652241592.3304
MEM 188.175781 1652241592.4307
MEM 196.425781 1652241592.5311
MEM 196.425781 1652241592.6314
MEM 198.488281 1652241592.7317
MEM 199.261719 1652241592.8320
MEM 199.261719 1652241592.9324
MEM 188.175781 1652241593.0327
MEM 188.175781 1652241593.1331
MEM 196.425781 1652241593.2335
MEM 196.425781 1652241593.3339
MEM 199.261719 1652241593.4344
MEM 199.261719 1652241593.5347
MEM 199.261719 1652241593.6351
MEM 187.144531 1652241593.7356
MEM 188.175781 1652241593.8361
MEM 196.425781 1652241593.9365
MEM 196.425781 1652241594.0368
MEM 196.425781 1652241594.1372
MEM 199.261719 1652241594.2376
MEM 199.261719 1652241594.3380
MEM 199.261719 1652241594.4383
MEM 188.175781 1652241594.5388
MEM 188.175781 1652241594.6392
MEM 196.683594 1652241594.7397
MEM 196.683594 1652241594.8401
MEM 199.777344 1652241594.9406
MEM 199.777344 1652241595.0409
MEM 199.777344 1652241595.1413
MEM 199.777344 1652241595.2417
MEM 188.175781 1652241595.3421
MEM 188.175781 1652241595.4425
MEM 196.683594 1652241595.5429
MEM 196.683594 1652241595.6434
MEM 199.777344 1652241595.7439
MEM 199.777344 1652241595.8443
MEM 199.777344 1652241595.9446
MEM 188.175781 1652241596.0451
MEM 188.175781 1652241596.1455
MEM 188.175781 1652241596.2459
MEM 196.425781 1652241596.3462
MEM 196.425781 1652241596.4466
MEM 199.261719 1652241596.5470
MEM 199.261719 1652241596.6473
MEM 199.261719 1652241596.7476
MEM 199.261719 1652241596.8480
MEM 188.175781 1652241596.9483
MEM 188.175781 1652241597.0487
MEM 188.175781 1652241597.1490
MEM 196.425781 1652241597.2493
MEM 199.261719 1652241597.3498
MEM 199.261719 1652241597.4501
MEM 199.261719 1652241597.5504
MEM 188.175781 1652241597.6508
MEM 188.175781 1652241597.7512
MEM 196.425781 1652241597.8517
MEM 196.425781 1652241597.9521
MEM 199.261719 1652241598.0526
MEM 199.261719 1652241598.1531
MEM 199.261719 1652241598.2535
MEM 188.175781 1652241598.3539
MEM 188.175781 1652241598.4543
MEM 188.175781 1652241598.5547
MEM 196.683594 1652241598.6551
MEM 196.683594 1652241598.7554
MEM 199.777344 1652241598.8558
MEM 199.777344 1652241598.9561
MEM 183.796875 1652241599.0566
