CMDLINE /usr/bin/python3 scripts/PCA-SVM-TARA.py
MEM 242.792969 1652297041.9587
MEM 242.792969 1652297042.0592
MEM 242.792969 1652297042.1596
MEM 242.792969 1652297042.2600
MEM 242.894531 1652297042.3603
MEM 242.894531 1652297042.4607
MEM 242.894531 1652297042.5611
MEM 242.894531 1652297042.6615
MEM 242.894531 1652297042.7619
MEM 242.894531 1652297042.8623
MEM 242.894531 1652297042.9627
MEM 242.894531 1652297043.0631
MEM 242.894531 1652297043.1635
MEM 242.894531 1652297043.2640
MEM 242.894531 1652297043.3646
MEM 242.894531 1652297043.4651
MEM 242.894531 1652297043.5655
MEM 242.894531 1652297043.6660
MEM 242.894531 1652297043.7664
MEM 242.894531 1652297043.8669
MEM 242.894531 1652297043.9673
MEM 242.894531 1652297044.0678
MEM 242.894531 1652297044.1683
MEM 242.894531 1652297044.2688
MEM 242.894531 1652297044.3692
MEM 242.894531 1652297044.4697
MEM 242.894531 1652297044.5701
MEM 242.894531 1652297044.6706
MEM 242.894531 1652297044.7710
MEM 242.894531 1652297044.8715
MEM 242.894531 1652297044.9719
MEM 242.894531 1652297045.0723
MEM 242.894531 1652297045.1727
MEM 242.894531 1652297045.2731
MEM 242.894531 1652297045.3735
MEM 242.902344 1652297045.4740
MEM 242.902344 1652297045.5743
MEM 242.902344 1652297045.6748
MEM 242.902344 1652297045.7752
MEM 242.902344 1652297045.8756
MEM 242.902344 1652297045.9760
MEM 242.902344 1652297046.0765
MEM 242.902344 1652297046.1770
MEM 242.902344 1652297046.2774
MEM 242.902344 1652297046.3778
MEM 242.902344 1652297046.4782
MEM 242.902344 1652297046.5786
MEM 242.902344 1652297046.6792
MEM 242.902344 1652297046.7796
MEM 242.902344 1652297046.8801
MEM 242.902344 1652297046.9805
MEM 242.902344 1652297047.0809
MEM 242.902344 1652297047.1814
MEM 242.902344 1652297047.2818
MEM 242.902344 1652297047.3822
MEM 242.902344 1652297047.4826
MEM 242.902344 1652297047.5830
MEM 242.902344 1652297047.6834
MEM 242.902344 1652297047.7839
MEM 242.902344 1652297047.8843
MEM 242.902344 1652297047.9847
MEM 242.902344 1652297048.0852
MEM 242.902344 1652297048.1857
MEM 242.902344 1652297048.2861
MEM 242.902344 1652297048.3866
MEM 242.902344 1652297048.4870
MEM 242.902344 1652297048.5875
MEM 242.902344 1652297048.6879
MEM 242.902344 1652297048.7884
MEM 242.902344 1652297048.8889
MEM 242.902344 1652297048.9893
MEM 242.902344 1652297049.0897
MEM 242.902344 1652297049.1902
MEM 242.902344 1652297049.2906
MEM 242.902344 1652297049.3911
MEM 242.902344 1652297049.4915
MEM 242.902344 1652297049.5919
MEM 243.089844 1652297049.6923
MEM 243.089844 1652297049.7927
MEM 243.089844 1652297049.8931
MEM 243.089844 1652297049.9935
MEM 243.089844 1652297050.0939
MEM 243.089844 1652297050.1943
MEM 243.089844 1652297050.2947
MEM 243.089844 1652297050.3951
MEM 243.089844 1652297050.4955
MEM 243.089844 1652297050.5960
MEM 243.089844 1652297050.6964
MEM 243.089844 1652297050.7968
MEM 243.089844 1652297050.8973
MEM 243.089844 1652297050.9977
MEM 243.089844 1652297051.0981
MEM 243.089844 1652297051.1985
MEM 243.089844 1652297051.2989
MEM 243.089844 1652297051.3993
MEM 243.089844 1652297051.4997
MEM 243.089844 1652297051.6000
MEM 243.089844 1652297051.7004
MEM 243.089844 1652297051.8008
MEM 243.089844 1652297051.9012
MEM 243.089844 1652297052.0016
MEM 243.089844 1652297052.1021
MEM 243.089844 1652297052.2025
MEM 243.089844 1652297052.3029
MEM 243.089844 1652297052.4033
MEM 243.089844 1652297052.5037
MEM 243.089844 1652297052.6041
MEM 243.089844 1652297052.7046
MEM 243.089844 1652297052.8049
MEM 243.089844 1652297052.9053
MEM 243.089844 1652297053.0057
MEM 243.089844 1652297053.1061
MEM 243.089844 1652297053.2065
MEM 243.089844 1652297053.3069
MEM 243.089844 1652297053.4072
MEM 243.089844 1652297053.5076
MEM 243.089844 1652297053.6081
MEM 243.089844 1652297053.7085
MEM 243.089844 1652297053.8089
MEM 243.089844 1652297053.9093
MEM 243.089844 1652297054.0098
MEM 243.089844 1652297054.1102
MEM 243.089844 1652297054.2106
MEM 243.089844 1652297054.3110
MEM 243.089844 1652297054.4114
MEM 243.089844 1652297054.5118
MEM 243.089844 1652297054.6122
MEM 243.089844 1652297054.7126
MEM 243.089844 1652297054.8130
MEM 243.089844 1652297054.9134
MEM 243.089844 1652297055.0138
MEM 243.089844 1652297055.1143
MEM 243.089844 1652297055.2147
MEM 243.089844 1652297055.3151
MEM 243.089844 1652297055.4155
MEM 243.089844 1652297055.5160
MEM 243.089844 1652297055.6164
MEM 243.089844 1652297055.7168
MEM 243.089844 1652297055.8171
MEM 243.089844 1652297055.9176
MEM 243.089844 1652297056.0180
MEM 243.089844 1652297056.1183
MEM 243.089844 1652297056.2187
MEM 243.089844 1652297056.3191
MEM 243.089844 1652297056.4195
MEM 243.089844 1652297056.5199
MEM 243.089844 1652297056.6203
MEM 243.089844 1652297056.7207
MEM 243.089844 1652297056.8211
MEM 243.089844 1652297056.9215
MEM 243.089844 1652297057.0220
MEM 243.089844 1652297057.1223
MEM 243.089844 1652297057.2227
MEM 243.089844 1652297057.3232
MEM 243.089844 1652297057.4236
MEM 243.089844 1652297057.5240
MEM 243.089844 1652297057.6244
MEM 243.089844 1652297057.7249
MEM 243.089844 1652297057.8253
MEM 243.089844 1652297057.9257
MEM 243.089844 1652297058.0261
MEM 243.089844 1652297058.1265
MEM 243.089844 1652297058.2270
MEM 243.089844 1652297058.3274
MEM 243.089844 1652297058.4278
MEM 243.089844 1652297058.5282
MEM 243.089844 1652297058.6287
MEM 243.089844 1652297058.7291
MEM 243.089844 1652297058.8295
MEM 243.089844 1652297058.9299
MEM 243.089844 1652297059.0303
MEM 243.089844 1652297059.1307
MEM 243.089844 1652297059.2311
MEM 243.089844 1652297059.3315
MEM 243.089844 1652297059.4319
MEM 243.089844 1652297059.5323
MEM 243.089844 1652297059.6327
MEM 243.089844 1652297059.7332
MEM 243.089844 1652297059.8336
MEM 243.089844 1652297059.9340
MEM 243.089844 1652297060.0344
MEM 243.089844 1652297060.1348
MEM 243.089844 1652297060.2352
MEM 243.089844 1652297060.3357
MEM 243.089844 1652297060.4361
MEM 243.089844 1652297060.5365
MEM 243.089844 1652297060.6369
MEM 243.089844 1652297060.7373
MEM 243.089844 1652297060.8376
MEM 243.089844 1652297060.9380
MEM 243.089844 1652297061.0384
MEM 243.089844 1652297061.1388
MEM 243.089844 1652297061.2392
MEM 243.089844 1652297061.3395
MEM 243.089844 1652297061.4399
MEM 243.089844 1652297061.5403
MEM 243.089844 1652297061.6407
MEM 243.089844 1652297061.7411
MEM 243.089844 1652297061.8415
MEM 243.089844 1652297061.9419
MEM 243.089844 1652297062.0423
MEM 243.089844 1652297062.1428
MEM 243.089844 1652297062.2431
MEM 243.089844 1652297062.3436
MEM 243.089844 1652297062.4441
MEM 243.089844 1652297062.5445
MEM 243.089844 1652297062.6449
MEM 243.089844 1652297062.7454
MEM 243.089844 1652297062.8459
MEM 243.089844 1652297062.9463
MEM 243.089844 1652297063.0468
MEM 243.089844 1652297063.1472
MEM 243.089844 1652297063.2477
MEM 243.089844 1652297063.3482
MEM 243.089844 1652297063.4487
MEM 243.089844 1652297063.5491
MEM 243.089844 1652297063.6496
MEM 243.089844 1652297063.7501
MEM 243.089844 1652297063.8506
MEM 243.089844 1652297063.9511
MEM 243.089844 1652297064.0516
MEM 243.089844 1652297064.1520
MEM 243.089844 1652297064.2524
MEM 243.089844 1652297064.3528
MEM 243.089844 1652297064.4533
MEM 243.089844 1652297064.5537
MEM 243.089844 1652297064.6543
MEM 243.089844 1652297064.7547
MEM 243.089844 1652297064.8552
MEM 243.089844 1652297064.9556
MEM 243.089844 1652297065.0561
MEM 243.089844 1652297065.1565
MEM 243.089844 1652297065.2569
MEM 243.089844 1652297065.3573
MEM 243.089844 1652297065.4577
MEM 243.089844 1652297065.5581
MEM 243.089844 1652297065.6585
MEM 243.089844 1652297065.7590
MEM 243.089844 1652297065.8594
MEM 243.089844 1652297065.9598
MEM 243.089844 1652297066.0602
MEM 243.089844 1652297066.1607
MEM 243.089844 1652297066.2611
MEM 243.089844 1652297066.3615
MEM 243.089844 1652297066.4619
MEM 243.089844 1652297066.5623
MEM 243.089844 1652297066.6627
MEM 243.089844 1652297066.7631
MEM 243.089844 1652297066.8635
MEM 243.089844 1652297066.9639
MEM 243.089844 1652297067.0643
MEM 243.089844 1652297067.1648
MEM 243.089844 1652297067.2652
MEM 243.089844 1652297067.3656
MEM 243.089844 1652297067.4660
MEM 243.089844 1652297067.5664
MEM 243.089844 1652297067.6667
MEM 243.089844 1652297067.7672
MEM 243.089844 1652297067.8676
MEM 243.089844 1652297067.9679
MEM 243.089844 1652297068.0683
MEM 243.089844 1652297068.1687
MEM 243.089844 1652297068.2691
MEM 243.089844 1652297068.3695
MEM 243.089844 1652297068.4699
MEM 243.089844 1652297068.5703
MEM 243.089844 1652297068.6707
MEM 243.089844 1652297068.7711
MEM 243.089844 1652297068.8716
MEM 243.089844 1652297068.9721
MEM 243.089844 1652297069.0725
MEM 243.089844 1652297069.1729
MEM 243.089844 1652297069.2733
MEM 243.089844 1652297069.3737
MEM 243.089844 1652297069.4741
MEM 243.089844 1652297069.5746
MEM 243.089844 1652297069.6750
MEM 243.089844 1652297069.7755
MEM 243.089844 1652297069.8759
MEM 243.089844 1652297069.9763
MEM 243.089844 1652297070.0767
MEM 243.089844 1652297070.1771
MEM 243.089844 1652297070.2775
MEM 243.089844 1652297070.3779
MEM 243.089844 1652297070.4784
MEM 243.089844 1652297070.5788
MEM 243.089844 1652297070.6792
MEM 243.089844 1652297070.7796
MEM 243.089844 1652297070.8800
MEM 243.089844 1652297070.9804
MEM 243.089844 1652297071.0808
MEM 243.089844 1652297071.1812
MEM 243.089844 1652297071.2817
MEM 243.089844 1652297071.3822
MEM 243.089844 1652297071.4826
MEM 243.488281 1652297071.5831
MEM 243.527344 1652297071.6834
MEM 198.152344 1652297071.7838
MEM 198.152344 1652297071.8842
MEM 197.371094 1652297071.9847
