CMDLINE /usr/bin/python3 scripts/PCA-RF-Malaria.py
MEM 383.289062 1652243760.9917
MEM 383.289062 1652243761.0919
MEM 383.289062 1652243761.1922
MEM 383.289062 1652243761.2924
MEM 383.289062 1652243761.3928
MEM 383.289062 1652243761.4930
MEM 383.289062 1652243761.5934
MEM 383.289062 1652243761.6939
MEM 383.289062 1652243761.7943
MEM 383.289062 1652243761.8947
MEM 383.289062 1652243761.9952
MEM 383.289062 1652243762.0958
MEM 383.289062 1652243762.1962
MEM 383.289062 1652243762.2966
MEM 383.289062 1652243762.3970
MEM 383.289062 1652243762.4976
MEM 383.289062 1652243762.5980
MEM 383.289062 1652243762.6984
MEM 383.289062 1652243762.7988
MEM 383.289062 1652243762.8992
MEM 383.289062 1652243762.9996
MEM 383.289062 1652243763.0999
MEM 383.289062 1652243763.2002
MEM 383.289062 1652243763.3005
MEM 383.289062 1652243763.4008
MEM 383.289062 1652243763.5010
MEM 383.289062 1652243763.6013
MEM 383.289062 1652243763.7035
MEM 383.289062 1652243763.8039
MEM 383.289062 1652243763.9083
MEM 383.289062 1652243764.0093
MEM 383.289062 1652243764.1097
MEM 383.289062 1652243764.2104
MEM 383.289062 1652243764.3107
MEM 383.289062 1652243764.4121
MEM 383.289062 1652243764.5125
MEM 383.289062 1652243764.6128
MEM 383.289062 1652243764.7131
MEM 383.289062 1652243764.8151
MEM 383.289062 1652243764.9154
MEM 383.289062 1652243765.0157
MEM 383.289062 1652243765.1181
MEM 383.289062 1652243765.2184
MEM 383.289062 1652243765.3211
MEM 383.289062 1652243765.4214
MEM 383.289062 1652243765.5217
MEM 383.289062 1652243765.6221
MEM 383.289062 1652243765.7226
MEM 383.289062 1652243765.8230
MEM 383.289062 1652243765.9233
MEM 383.289062 1652243766.0236
MEM 383.289062 1652243766.1239
MEM 383.289062 1652243766.2243
MEM 383.289062 1652243766.3247
MEM 383.289062 1652243766.4250
MEM 383.289062 1652243766.5254
MEM 383.289062 1652243766.6256
MEM 383.289062 1652243766.7259
MEM 383.289062 1652243766.8263
MEM 383.289062 1652243766.9267
MEM 383.289062 1652243767.0271
MEM 383.289062 1652243767.1275
MEM 383.289062 1652243767.2278
MEM 383.289062 1652243767.3282
MEM 383.289062 1652243767.4287
MEM 383.289062 1652243767.5292
MEM 383.289062 1652243767.6298
MEM 383.289062 1652243767.7302
MEM 383.289062 1652243767.8307
MEM 383.289062 1652243767.9312
MEM 388.046875 1652243768.0316
MEM 388.046875 1652243768.1321
MEM 388.046875 1652243768.2325
MEM 388.046875 1652243768.3329
MEM 388.046875 1652243768.4333
MEM 388.046875 1652243768.5337
MEM 388.046875 1652243768.6341
MEM 388.046875 1652243768.7346
MEM 388.046875 1652243768.8350
MEM 388.046875 1652243768.9354
