CMDLINE /usr/bin/python3 scripts/AE-SVM-Rhizo.py
MEM 864.808594 1652240753.9517
MEM 866.871094 1652240754.0521
MEM 866.871094 1652240754.1525
MEM 866.871094 1652240754.2530
MEM 871.253906 1652240754.3535
MEM 871.253906 1652240754.4540
MEM 881.132812 1652240754.5544
MEM 887.105469 1652240754.6548
MEM 884.785156 1652240754.7552
MEM 897.757812 1652240754.8557
MEM 908.625000 1652240754.9561
MEM 908.625000 1652240755.0564
MEM 908.625000 1652240755.1569
MEM 908.625000 1652240755.2573
MEM 908.625000 1652240755.3576
MEM 917.691406 1652240755.4580
MEM 917.691406 1652240755.5584
MEM 917.941406 1652240755.6587
MEM 918.441406 1652240755.7590
MEM 918.441406 1652240755.8593
MEM 922.304688 1652240755.9596
MEM 922.304688 1652240756.0600
MEM 922.304688 1652240756.1603
MEM 922.304688 1652240756.2606
MEM 964.023438 1652240756.3610
MEM 964.023438 1652240756.4614
MEM 964.351562 1652240756.5619
MEM 964.351562 1652240756.6623
MEM 968.218750 1652240756.7627
MEM 968.218750 1652240756.8631
MEM 968.218750 1652240756.9635
MEM 968.218750 1652240757.0640
MEM 972.601562 1652240757.1659
MEM 972.601562 1652240757.2664
MEM 974.542969 1652240757.3668
MEM 976.539062 1652240757.4673
MEM 972.132812 1652240757.5677
MEM 975.652344 1652240757.6681
MEM 976.289062 1652240757.7685
MEM 976.289062 1652240757.8689
MEM 976.289062 1652240757.9693
MEM 976.289062 1652240758.0697
MEM 976.289062 1652240758.1700
MEM 978.070312 1652240758.2704
MEM 978.273438 1652240758.3708
MEM 978.273438 1652240758.4712
MEM 979.023438 1652240758.5716
MEM 979.023438 1652240758.6720
MEM 986.496094 1652240758.7724
MEM 986.496094 1652240758.8728
MEM 986.496094 1652240758.9732
MEM 986.496094 1652240759.0736
MEM 991.894531 1652240759.1740
MEM 1003.718750 1652240759.2744
MEM 1003.718750 1652240759.3747
MEM 1003.718750 1652240759.4751
MEM 1003.718750 1652240759.5755
MEM 1003.718750 1652240759.6758
MEM 1003.718750 1652240759.7762
MEM 1003.718750 1652240759.8766
MEM 1003.718750 1652240759.9769
MEM 1006.039062 1652240760.0773
MEM 1007.964844 1652240760.1776
MEM 1008.074219 1652240760.2780
MEM 1022.808594 1652240760.3784
MEM 1028.074219 1652240760.4788
MEM 1035.195312 1652240760.5792
MEM 1039.792969 1652240760.6796
MEM 1039.792969 1652240760.7801
MEM 1039.792969 1652240760.8805
MEM 1039.792969 1652240760.9809
MEM 1039.792969 1652240761.0812
MEM 1044.925781 1652240761.1817
MEM 1045.183594 1652240761.2820
MEM 1045.351562 1652240761.3824
MEM 1045.351562 1652240761.4829
MEM 1045.601562 1652240761.5832
MEM 1052.558594 1652240761.6836
MEM 1052.769531 1652240761.7840
MEM 1052.769531 1652240761.8844
MEM 1052.769531 1652240761.9848
MEM 1052.769531 1652240762.0852
MEM 1059.957031 1652240762.1857
MEM 1065.167969 1652240762.2861
MEM 1065.417969 1652240762.3865
MEM 1065.667969 1652240762.4870
MEM 1065.667969 1652240762.5874
MEM 1065.667969 1652240762.6878
MEM 1065.667969 1652240762.7882
MEM 1065.667969 1652240762.8885
MEM 1065.667969 1652240762.9889
MEM 1067.726562 1652240763.0893
MEM 1071.808594 1652240763.1897
MEM 1071.800781 1652240763.2901
MEM 1078.664062 1652240763.3905
MEM 1085.460938 1652240763.4910
MEM 1086.179688 1652240763.5914
MEM 1086.179688 1652240763.6917
MEM 1086.179688 1652240763.7920
MEM 1086.179688 1652240763.8923
MEM 1086.179688 1652240763.9926
MEM 1089.746094 1652240764.0930
MEM 1091.546875 1652240764.1934
MEM 1091.785156 1652240764.2937
MEM 1092.035156 1652240764.3941
MEM 1092.535156 1652240764.4945
MEM 1092.535156 1652240764.5949
MEM 1099.750000 1652240764.6954
MEM 1099.750000 1652240764.7958
MEM 1099.750000 1652240764.8963
MEM 1099.750000 1652240764.9967
MEM 1116.480469 1652240765.0971
MEM 1130.402344 1652240765.1975
MEM 1130.402344 1652240765.2979
MEM 1130.863281 1652240765.3983
MEM 1130.863281 1652240765.4987
MEM 1132.925781 1652240765.5992
MEM 1132.925781 1652240765.6996
MEM 1132.925781 1652240765.8000
MEM 1132.925781 1652240765.9004
MEM 1134.988281 1652240766.0008
MEM 1135.089844 1652240766.1012
MEM 1138.867188 1652240766.2017
MEM 1147.746094 1652240766.3021
MEM 1148.156250 1652240766.4025
MEM 1156.257812 1652240766.5029
MEM 1156.257812 1652240766.6032
MEM 1156.257812 1652240766.7036
MEM 1156.257812 1652240766.8040
MEM 1156.257812 1652240766.9044
MEM 1163.195312 1652240767.0049
MEM 1163.453125 1652240767.1053
MEM 1163.566406 1652240767.2057
MEM 1164.316406 1652240767.3061
MEM 1164.316406 1652240767.4065
MEM 1167.898438 1652240767.5069
MEM 1167.898438 1652240767.6072
MEM 1167.898438 1652240767.7076
MEM 1167.898438 1652240767.8080
MEM 1167.898438 1652240767.9084
