CMDLINE /usr/bin/python3 scripts/tSNE-SVM-Rhizo.py
MEM 202.183594 1652242018.5013
MEM 202.183594 1652242018.6016
MEM 202.183594 1652242018.7020
MEM 202.183594 1652242018.8023
MEM 202.183594 1652242018.9027
MEM 202.183594 1652242019.0030
MEM 202.183594 1652242019.1033
MEM 202.183594 1652242019.2036
MEM 202.183594 1652242019.3058
MEM 202.183594 1652242019.4062
MEM 202.183594 1652242019.5065
MEM 202.183594 1652242019.6068
MEM 202.183594 1652242019.7074
MEM 202.183594 1652242019.8077
MEM 202.183594 1652242019.9080
MEM 202.183594 1652242020.0094
MEM 202.183594 1652242020.1098
MEM 202.183594 1652242020.2102
MEM 202.183594 1652242020.3105
MEM 202.183594 1652242020.4108
MEM 202.183594 1652242020.5127
MEM 202.183594 1652242020.6130
MEM 202.183594 1652242020.7134
MEM 202.183594 1652242020.8152
MEM 202.183594 1652242020.9155
MEM 202.183594 1652242021.0158
MEM 202.183594 1652242021.1161
MEM 202.183594 1652242021.2164
MEM 202.183594 1652242021.3167
MEM 202.183594 1652242021.4171
MEM 202.183594 1652242021.5174
MEM 202.183594 1652242021.6177
MEM 202.183594 1652242021.7181
MEM 202.183594 1652242021.8184
MEM 202.183594 1652242021.9188
MEM 202.183594 1652242022.0191
MEM 202.183594 1652242022.1195
MEM 202.183594 1652242022.2199
MEM 202.183594 1652242022.3202
MEM 202.183594 1652242022.4205
MEM 202.183594 1652242022.5209
MEM 202.183594 1652242022.6212
MEM 202.183594 1652242022.7216
MEM 202.183594 1652242022.8219
MEM 202.183594 1652242022.9223
MEM 202.183594 1652242023.0226
MEM 202.183594 1652242023.1229
MEM 202.183594 1652242023.2239
MEM 202.183594 1652242023.3242
MEM 202.183594 1652242023.4245
MEM 202.183594 1652242023.5249
MEM 202.183594 1652242023.6266
MEM 202.183594 1652242023.7270
MEM 202.183594 1652242023.8273
MEM 202.183594 1652242023.9277
MEM 202.183594 1652242024.0280
MEM 202.183594 1652242024.1284
MEM 202.183594 1652242024.2288
MEM 202.183594 1652242024.3291
MEM 202.183594 1652242024.4295
MEM 202.183594 1652242024.5298
MEM 202.183594 1652242024.6302
MEM 202.183594 1652242024.7306
MEM 202.183594 1652242024.8310
MEM 202.183594 1652242024.9313
MEM 202.183594 1652242025.0317
MEM 202.183594 1652242025.1321
MEM 202.183594 1652242025.2324
MEM 202.183594 1652242025.3328
MEM 202.183594 1652242025.4332
MEM 202.183594 1652242025.5336
MEM 202.183594 1652242025.6342
MEM 202.183594 1652242025.7350
MEM 202.183594 1652242025.8363
MEM 202.183594 1652242025.9367
MEM 202.183594 1652242026.0370
MEM 202.183594 1652242026.1374
MEM 202.183594 1652242026.2377
MEM 202.183594 1652242026.3380
MEM 202.183594 1652242026.4390
MEM 202.183594 1652242026.5393
MEM 202.183594 1652242026.6397
MEM 202.183594 1652242026.7400
MEM 202.183594 1652242026.8404
MEM 202.183594 1652242026.9407
MEM 202.183594 1652242027.0410
MEM 202.183594 1652242027.1414
MEM 202.183594 1652242027.2418
MEM 202.183594 1652242027.3421
MEM 202.183594 1652242027.4424
MEM 202.183594 1652242027.5427
MEM 202.183594 1652242027.6431
MEM 202.183594 1652242027.7434
MEM 202.183594 1652242027.8438
MEM 202.183594 1652242027.9441
MEM 202.183594 1652242028.0444
MEM 202.183594 1652242028.1512
MEM 202.183594 1652242028.2521
MEM 202.183594 1652242028.3524
MEM 202.183594 1652242028.4527
MEM 202.183594 1652242028.5530
MEM 202.183594 1652242028.6533
MEM 202.183594 1652242028.7536
MEM 202.183594 1652242028.8539
MEM 202.183594 1652242028.9542
MEM 202.183594 1652242029.0545
MEM 202.183594 1652242029.1548
MEM 202.183594 1652242029.2551
MEM 202.183594 1652242029.3554
MEM 202.183594 1652242029.4557
MEM 202.183594 1652242029.5560
MEM 202.183594 1652242029.6563
MEM 202.183594 1652242029.7566
MEM 202.183594 1652242029.8569
MEM 202.183594 1652242029.9572
MEM 202.183594 1652242030.0575
MEM 202.183594 1652242030.1578
MEM 202.183594 1652242030.2581
MEM 202.183594 1652242030.3584
MEM 202.183594 1652242030.4587
MEM 202.183594 1652242030.5591
MEM 202.183594 1652242030.6594
MEM 202.183594 1652242030.7613
MEM 202.183594 1652242030.8616
MEM 202.183594 1652242030.9618
MEM 202.183594 1652242031.0621
MEM 202.183594 1652242031.1624
MEM 202.183594 1652242031.2628
MEM 202.183594 1652242031.3631
MEM 202.183594 1652242031.4634
MEM 202.183594 1652242031.5638
MEM 202.183594 1652242031.6641
MEM 202.183594 1652242031.7644
MEM 202.183594 1652242031.8647
MEM 202.183594 1652242031.9651
MEM 202.183594 1652242032.0654
MEM 202.183594 1652242032.1657
MEM 202.183594 1652242032.2660
MEM 202.183594 1652242032.3664
MEM 202.183594 1652242032.4667
MEM 202.183594 1652242032.5670
MEM 202.183594 1652242032.6674
MEM 202.183594 1652242032.7677
MEM 202.183594 1652242032.8681
MEM 202.183594 1652242032.9684
MEM 202.183594 1652242033.0688
MEM 202.183594 1652242033.1691
MEM 202.183594 1652242033.2695
MEM 202.183594 1652242033.3698
MEM 202.183594 1652242033.4701
MEM 202.183594 1652242033.5704
MEM 202.183594 1652242033.6708
MEM 202.183594 1652242033.7711
MEM 202.183594 1652242033.8715
MEM 202.183594 1652242033.9717
MEM 202.183594 1652242034.0720
MEM 202.183594 1652242034.1723
MEM 202.183594 1652242034.2726
MEM 202.183594 1652242034.3730
MEM 202.183594 1652242034.4733
MEM 202.183594 1652242034.5736
MEM 202.183594 1652242034.6739
MEM 202.183594 1652242034.7759
MEM 202.183594 1652242034.8762
MEM 202.183594 1652242034.9766
MEM 202.183594 1652242035.0769
MEM 202.183594 1652242035.1772
MEM 202.183594 1652242035.2776
MEM 202.183594 1652242035.3779
MEM 202.183594 1652242035.4783
MEM 202.183594 1652242035.5786
MEM 202.183594 1652242035.6789
MEM 202.183594 1652242035.7792
MEM 202.183594 1652242035.8796
MEM 202.183594 1652242035.9799
MEM 202.183594 1652242036.0802
MEM 202.183594 1652242036.1806
MEM 202.183594 1652242036.2810
MEM 202.183594 1652242036.3813
MEM 202.183594 1652242036.4816
MEM 202.183594 1652242036.5819
MEM 202.183594 1652242036.6823
MEM 202.183594 1652242036.7827
MEM 202.183594 1652242036.8830
MEM 202.183594 1652242036.9856
MEM 202.183594 1652242037.0859
MEM 202.183594 1652242037.1862
MEM 202.183594 1652242037.2865
MEM 202.183594 1652242037.3869
MEM 202.183594 1652242037.4871
MEM 202.183594 1652242037.5875
MEM 202.183594 1652242037.6878
MEM 202.183594 1652242037.7881
MEM 202.183594 1652242037.8884
MEM 202.183594 1652242037.9887
MEM 202.183594 1652242038.0891
MEM 202.183594 1652242038.1894
MEM 202.183594 1652242038.2898
MEM 202.183594 1652242038.3901
MEM 202.183594 1652242038.4904
MEM 202.183594 1652242038.5913
MEM 202.183594 1652242038.6917
MEM 202.183594 1652242038.7920
MEM 202.183594 1652242038.8923
MEM 202.183594 1652242038.9926
MEM 202.183594 1652242039.0929
MEM 202.183594 1652242039.1933
MEM 202.183594 1652242039.2936
MEM 202.183594 1652242039.3939
MEM 202.183594 1652242039.4942
MEM 202.183594 1652242039.5945
MEM 202.183594 1652242039.6948
MEM 202.183594 1652242039.7951
MEM 202.183594 1652242039.8954
MEM 202.183594 1652242039.9958
MEM 202.183594 1652242040.0961
MEM 202.183594 1652242040.1965
MEM 202.183594 1652242040.2969
MEM 202.183594 1652242040.3972
MEM 202.183594 1652242040.4992
MEM 202.183594 1652242040.5995
MEM 202.183594 1652242040.6998
MEM 202.183594 1652242040.8001
MEM 202.183594 1652242040.9005
MEM 202.183594 1652242041.0008
MEM 202.183594 1652242041.1011
MEM 202.183594 1652242041.2013
MEM 202.183594 1652242041.3017
MEM 202.183594 1652242041.4020
MEM 202.183594 1652242041.5024
MEM 202.183594 1652242041.6027
MEM 202.183594 1652242041.7030
MEM 202.183594 1652242041.8033
MEM 202.183594 1652242041.9050
MEM 202.183594 1652242042.0053
MEM 202.183594 1652242042.1056
MEM 202.183594 1652242042.2067
MEM 202.183594 1652242042.3069
MEM 202.183594 1652242042.4073
MEM 202.183594 1652242042.5077
MEM 202.183594 1652242042.6080
MEM 202.183594 1652242042.7083
MEM 202.183594 1652242042.8086
MEM 202.183594 1652242042.9089
MEM 202.183594 1652242043.0092
MEM 202.183594 1652242043.1105
MEM 202.183594 1652242043.2108
MEM 202.183594 1652242043.3131
MEM 202.183594 1652242043.4134
MEM 202.183594 1652242043.5137
MEM 202.183594 1652242043.6140
MEM 202.183594 1652242043.7143
MEM 202.183594 1652242043.8147
MEM 202.183594 1652242043.9150
MEM 202.183594 1652242044.0153
MEM 202.183594 1652242044.1156
MEM 202.183594 1652242044.2159
MEM 202.183594 1652242044.3163
MEM 202.183594 1652242044.4166
MEM 202.183594 1652242044.5212
MEM 202.183594 1652242044.6223
MEM 202.183594 1652242044.7227
MEM 202.183594 1652242044.8231
MEM 202.183594 1652242044.9234
MEM 202.183594 1652242045.0237
MEM 202.183594 1652242045.1241
MEM 202.183594 1652242045.2244
MEM 202.183594 1652242045.3248
MEM 202.183594 1652242045.4251
MEM 202.183594 1652242045.5255
MEM 202.183594 1652242045.6259
MEM 202.183594 1652242045.7264
MEM 202.183594 1652242045.8267
MEM 202.183594 1652242045.9270
MEM 202.183594 1652242046.0273
MEM 202.183594 1652242046.1278
MEM 202.183594 1652242046.2297
MEM 202.183594 1652242046.3300
MEM 202.183594 1652242046.4303
MEM 202.183594 1652242046.5307
MEM 202.183594 1652242046.6311
MEM 202.183594 1652242046.7314
MEM 202.183594 1652242046.8318
MEM 202.183594 1652242046.9323
MEM 202.183594 1652242047.0326
MEM 202.183594 1652242047.1330
MEM 202.183594 1652242047.2334
MEM 202.183594 1652242047.3338
MEM 202.183594 1652242047.4341
MEM 202.183594 1652242047.5345
MEM 202.183594 1652242047.6348
MEM 202.183594 1652242047.7351
MEM 202.183594 1652242047.8356
MEM 202.183594 1652242047.9359
MEM 202.183594 1652242048.0362
MEM 202.183594 1652242048.1366
MEM 202.183594 1652242048.2370
MEM 202.183594 1652242048.3373
MEM 202.183594 1652242048.4377
MEM 202.183594 1652242048.5381
MEM 202.183594 1652242048.6385
MEM 202.183594 1652242048.7388
MEM 202.183594 1652242048.8391
MEM 202.183594 1652242048.9395
MEM 202.183594 1652242049.0399
MEM 202.183594 1652242049.1402
MEM 202.183594 1652242049.2405
MEM 202.183594 1652242049.3412
MEM 202.183594 1652242049.4415
MEM 202.183594 1652242049.5418
MEM 202.183594 1652242049.6421
MEM 202.183594 1652242049.7424
MEM 202.183594 1652242049.8435
MEM 202.183594 1652242049.9438
MEM 202.183594 1652242050.0442
MEM 202.183594 1652242050.1445
MEM 202.183594 1652242050.2448
MEM 202.183594 1652242050.3450
MEM 202.183594 1652242050.4453
MEM 202.183594 1652242050.5456
MEM 202.183594 1652242050.6458
MEM 202.183594 1652242050.7461
MEM 202.183594 1652242050.8464
MEM 202.183594 1652242050.9466
MEM 202.183594 1652242051.0469
MEM 202.183594 1652242051.1472
MEM 202.183594 1652242051.2474
MEM 202.183594 1652242051.3477
MEM 202.183594 1652242051.4480
MEM 202.183594 1652242051.5482
MEM 202.183594 1652242051.6485
MEM 202.183594 1652242051.7493
MEM 202.183594 1652242051.8496
MEM 202.183594 1652242051.9508
MEM 202.183594 1652242052.0510
MEM 202.183594 1652242052.1513
MEM 202.183594 1652242052.2516
MEM 202.183594 1652242052.3518
MEM 202.183594 1652242052.4521
MEM 202.183594 1652242052.5541
MEM 202.183594 1652242052.6544
MEM 202.183594 1652242052.7547
MEM 202.183594 1652242052.8549
MEM 202.183594 1652242052.9552
MEM 202.183594 1652242053.0555
MEM 202.183594 1652242053.1557
MEM 202.183594 1652242053.2560
MEM 202.183594 1652242053.3583
MEM 202.183594 1652242053.4586
MEM 202.183594 1652242053.5588
MEM 202.183594 1652242053.6591
MEM 202.183594 1652242053.7593
MEM 202.183594 1652242053.8596
MEM 202.183594 1652242053.9618
MEM 202.183594 1652242054.0621
MEM 202.183594 1652242054.1625
MEM 202.183594 1652242054.2628
MEM 202.183594 1652242054.3631
MEM 202.183594 1652242054.4634
MEM 202.183594 1652242054.5637
MEM 202.183594 1652242054.6640
MEM 202.183594 1652242054.7672
MEM 202.183594 1652242054.8676
MEM 202.183594 1652242054.9679
MEM 202.183594 1652242055.0682
MEM 202.183594 1652242055.1685
MEM 202.183594 1652242055.2688
MEM 202.183594 1652242055.3691
MEM 202.183594 1652242055.4699
MEM 202.183594 1652242055.5703
MEM 202.183594 1652242055.6706
MEM 202.183594 1652242055.7709
MEM 202.183594 1652242055.8712
MEM 202.183594 1652242055.9715
MEM 202.183594 1652242056.0718
MEM 202.183594 1652242056.1721
MEM 202.183594 1652242056.2725
MEM 202.183594 1652242056.3728
MEM 202.183594 1652242056.4734
MEM 202.183594 1652242056.5737
MEM 202.183594 1652242056.6739
MEM 202.183594 1652242056.7742
MEM 202.183594 1652242056.8745
MEM 202.183594 1652242056.9749
MEM 202.183594 1652242057.0752
MEM 202.183594 1652242057.1755
MEM 202.183594 1652242057.2758
MEM 202.183594 1652242057.3761
MEM 202.183594 1652242057.4764
MEM 202.183594 1652242057.5768
MEM 202.183594 1652242057.6771
MEM 202.183594 1652242057.7775
MEM 202.183594 1652242057.8777
MEM 202.183594 1652242057.9781
MEM 202.183594 1652242058.0783
MEM 202.183594 1652242058.1786
MEM 202.183594 1652242058.2790
MEM 202.183594 1652242058.3817
MEM 202.183594 1652242058.4820
MEM 202.183594 1652242058.5824
MEM 202.183594 1652242058.6827
MEM 202.183594 1652242058.7830
MEM 202.183594 1652242058.8856
MEM 202.183594 1652242058.9860
MEM 202.183594 1652242059.0863
MEM 202.183594 1652242059.1866
MEM 202.183594 1652242059.2869
MEM 202.183594 1652242059.3872
MEM 202.183594 1652242059.4875
MEM 202.183594 1652242059.5879
MEM 202.183594 1652242059.6883
MEM 202.183594 1652242059.7886
MEM 202.183594 1652242059.8889
MEM 202.183594 1652242059.9892
MEM 202.183594 1652242060.0895
MEM 202.183594 1652242060.1898
MEM 202.183594 1652242060.2902
MEM 202.183594 1652242060.3906
MEM 202.183594 1652242060.4909
MEM 202.183594 1652242060.5913
MEM 202.183594 1652242060.6916
MEM 202.183594 1652242060.7919
MEM 202.183594 1652242060.8923
MEM 202.183594 1652242060.9927
MEM 202.183594 1652242061.0930
MEM 202.183594 1652242061.1934
MEM 202.183594 1652242061.2937
MEM 202.183594 1652242061.3940
MEM 202.183594 1652242061.4943
MEM 202.183594 1652242061.5947
MEM 202.183594 1652242061.6950
MEM 202.183594 1652242061.7953
MEM 202.183594 1652242061.8957
MEM 202.183594 1652242061.9960
MEM 202.183594 1652242062.0964
MEM 202.183594 1652242062.1967
MEM 202.183594 1652242062.2971
MEM 202.183594 1652242062.3975
MEM 202.183594 1652242062.4978
MEM 202.183594 1652242062.5982
MEM 202.183594 1652242062.6985
MEM 202.183594 1652242062.7988
MEM 202.183594 1652242062.8992
MEM 202.183594 1652242062.9995
MEM 202.183594 1652242063.1006
MEM 202.183594 1652242063.2009
MEM 202.183594 1652242063.3012
MEM 202.183594 1652242063.4015
MEM 202.183594 1652242063.5023
MEM 202.183594 1652242063.6049
MEM 202.183594 1652242063.7053
MEM 202.183594 1652242063.8056
MEM 202.183594 1652242063.9059
MEM 202.183594 1652242064.0084
MEM 202.183594 1652242064.1087
MEM 202.183594 1652242064.2090
MEM 202.183594 1652242064.3094
MEM 202.183594 1652242064.4097
MEM 202.183594 1652242064.5100
MEM 202.183594 1652242064.6103
MEM 202.183594 1652242064.7106
MEM 202.183594 1652242064.8110
MEM 202.183594 1652242064.9113
MEM 202.183594 1652242065.0117
MEM 202.183594 1652242065.1120
MEM 202.183594 1652242065.2123
MEM 202.183594 1652242065.3126
MEM 202.183594 1652242065.4129
MEM 202.183594 1652242065.5132
MEM 202.183594 1652242065.6135
MEM 202.183594 1652242065.7139
MEM 202.183594 1652242065.8144
MEM 202.183594 1652242065.9147
MEM 202.183594 1652242066.0151
MEM 202.183594 1652242066.1154
MEM 202.183594 1652242066.2198
MEM 202.183594 1652242066.3202
MEM 202.183594 1652242066.4211
MEM 202.183594 1652242066.5214
MEM 202.183594 1652242066.6218
MEM 202.183594 1652242066.7221
MEM 202.183594 1652242066.8224
MEM 202.183594 1652242066.9228
MEM 202.183594 1652242067.0254
MEM 202.183594 1652242067.1257
MEM 202.183594 1652242067.2260
MEM 202.183594 1652242067.3287
MEM 202.183594 1652242067.4290
MEM 202.183594 1652242067.5293
MEM 202.183594 1652242067.6297
