CMDLINE /usr/bin/python3 scripts/PCA-RF-Rhizo.py
MEM 213.167969 1652242072.9498
MEM 213.167969 1652242073.0501
MEM 213.167969 1652242073.1505
MEM 213.167969 1652242073.2508
MEM 213.167969 1652242073.3511
MEM 213.167969 1652242073.4515
MEM 213.167969 1652242073.5536
MEM 213.167969 1652242073.6539
MEM 213.167969 1652242073.7543
MEM 213.167969 1652242073.8591
MEM 213.167969 1652242073.9600
MEM 213.167969 1652242074.0603
MEM 213.167969 1652242074.1605
MEM 213.167969 1652242074.2607
MEM 213.167969 1652242074.3610
MEM 213.167969 1652242074.4612
MEM 213.167969 1652242074.5615
MEM 213.167969 1652242074.6618
MEM 213.167969 1652242074.7620
MEM 213.167969 1652242074.8623
MEM 213.167969 1652242074.9626
MEM 213.167969 1652242075.0628
MEM 213.167969 1652242075.1631
MEM 213.167969 1652242075.2634
MEM 213.167969 1652242075.3636
MEM 213.167969 1652242075.4639
MEM 213.167969 1652242075.5642
MEM 213.167969 1652242075.6644
MEM 213.167969 1652242075.7647
MEM 213.167969 1652242075.8649
MEM 213.167969 1652242075.9652
MEM 213.167969 1652242076.0654
MEM 213.167969 1652242076.1657
MEM 213.167969 1652242076.2659
MEM 213.167969 1652242076.3662
MEM 213.167969 1652242076.4664
MEM 213.167969 1652242076.5667
MEM 213.167969 1652242076.6669
MEM 213.167969 1652242076.7671
MEM 213.167969 1652242076.8673
MEM 213.167969 1652242076.9675
MEM 213.167969 1652242077.0678
MEM 213.167969 1652242077.1680
MEM 213.167969 1652242077.2683
MEM 213.167969 1652242077.3685
MEM 213.167969 1652242077.4688
MEM 213.167969 1652242077.5691
MEM 213.167969 1652242077.6693
MEM 213.167969 1652242077.7696
MEM 213.167969 1652242077.8699
MEM 213.167969 1652242077.9701
MEM 213.167969 1652242078.0704
MEM 213.167969 1652242078.1707
MEM 213.167969 1652242078.2712
MEM 213.167969 1652242078.3715
MEM 213.167969 1652242078.4718
MEM 213.167969 1652242078.5722
MEM 213.167969 1652242078.6725
MEM 213.167969 1652242078.7729
MEM 213.167969 1652242078.8731
MEM 213.167969 1652242078.9735
MEM 213.167969 1652242079.0738
MEM 213.167969 1652242079.1741
MEM 213.167969 1652242079.2744
MEM 213.167969 1652242079.3748
MEM 213.167969 1652242079.4751
MEM 213.167969 1652242079.5776
MEM 213.167969 1652242079.6787
MEM 213.167969 1652242079.7813
MEM 213.167969 1652242079.8816
MEM 213.167969 1652242079.9819
MEM 213.167969 1652242080.0822
MEM 213.167969 1652242080.1825
MEM 213.167969 1652242080.2828
MEM 213.167969 1652242080.3831
MEM 213.167969 1652242080.4834
MEM 213.167969 1652242080.5837
MEM 213.167969 1652242080.6840
MEM 213.167969 1652242080.7843
MEM 213.167969 1652242080.8846
MEM 213.167969 1652242080.9849
MEM 213.167969 1652242081.0852
MEM 213.167969 1652242081.1855
MEM 213.167969 1652242081.2858
